time,CTWS AVG,HTWS AVG,OA Wetbulb Temp
0, 54.2, 55.49, 40.7
60, 54.2, 55.43, 40.5
120, 54.4, 55.43, 40.4
180, 54.4, 55.51, 40.4
240, 54.4, 55.62, 40.3
300, 54.4, 55.62, 40.4
360, 54.4, 55.68, 40.4
420, 54.4, 55.73, 40.4
480, 54.4, 55.73, 40.4
540, 54.6, 55.73, 40.4
600, 54.6, 55.78, 40.3
660, 54.6, 55.78, 40.2
720, 54.6, 55.78, 40.2
780, 54.6, 55.78, 40.2
840, 54.6, 55.78, 40.2
900, 54.6, 55.73, 40.2
960, 54.6, 55.73, 40.3
1020, 54.6, 55.73, 40.4
1080, 54.6, 55.73, 40.4
1140, 54.6, 55.73, 40.4
1200, 54.6, 55.73, 40.4
1260, 54.7, 55.73, 40.4
1320, 54.7, 55.73, 40.2
1380, 54.8, 55.73, 40.1
1440, 54.9, 55.73, 40
1500, 54.9, 55.73, 40
1560, 54.9, 55.73, 40
1620, 55, 55.73, 40
1680, 55, 55.73, 40
1740, 55, 55.73, 39.8
1800, 55, 55.73, 39.8
1860, 55, 55.73, 39.9
1920, 55, 55.73, 39.8
1980, 55, 55.73, 39.8
2040, 55, 55.73, 39.7
2100, 55, 55.73, 39.8
2160, 55, 55.73, 39.8
2220, 55, 55.73, 39.8
2280, 55, 55.73, 39.8
2340, 55, 55.73, 39.8
2400, 55, 55.73, 39.8
2460, 55, 55.73, 39.8
2520, 55, 55.73, 39.8
2580, 55, 55.73, 39.7
2640, 55, 55.73, 39.7
2700, 55, 55.62, 39.6
2760, 55, 55.62, 39.6
2820, 55, 55.57, 39.6
2880, 55, 55.57, 39.6
2940, 55, 55.44, 39.5
3000, 55, 55.44, 39.5
3060, 55, 55.39, 39.5
3120, 55, 55.28, 39.5
3180, 54.9, 55.28, 39.4
3240, 54.9, 55.28, 39.5
3300, 54.7, 55.22, 39.4
3360, 54.6, 55.16, 39.4
3420, 54.5, 55.09, 39.4
3480, 54.5, 54.98, 39.4
3540, 54.5, 54.92, 39.5
3600, 54.5, 54.86, 39.4
3660, 54.5, 54.8, 39.3
3720, 54.4, 54.8, 39.2
3780, 54.4, 54.74, 39.1
3840, 54.3, 54.64, 39.1
3900, 54.2, 54.64, 39.1
3960, 54.2, 54.64, 39.1
4020, 54.2, 54.53, 39.1
4080, 54.2, 54.53, 39.1
4140, 54.2, 54.53, 39
4200, 54.2, 54.53, 38.9
4260, 54.2, 54.53, 38.9
4320, 54.2, 54.53, 38.9
4380, 54.2, 54.53, 38.8
4440, 54.2, 54.53, 38.8
4500, 54.2, 54.53, 38.8
4560, 54.2, 54.53, 38.8
4620, 54.2, 54.53, 38.8
4680, 54.2, 54.53, 38.8
4740, 54.2, 54.53, 38.9
4800, 54.2, 54.53, 38.9
4860, 54.2, 54.58, 38.8
4920, 54.2, 54.58, 38.8
4980, 54.2, 54.58, 38.7
5040, 54.2, 54.58, 38.6
5100, 54.2, 54.36, 38.7
5160, 54.2, 54.11, 38.7
5220, 54.1, 53.92, 38.7
5280, 54, 53.85, 38.7
5340, 53.8, 53.73, 38.8
5400, 53.6, 53.58, 38.8
5460, 53.3, 53.33, 38.9
5520, 53.1, 53.08, 38.9
5580, 52.9, 52.83, 39
5640, 52.8, 52.65, 39
5700, 52.6, 52.44, 39
5760, 52.3, 52.27, 39
5820, 52.2, 52.09, 39
5880, 51.9, 51.96, 38.9
5940, 51.7, 51.73, 38.9
6000, 51.3, 51.57, 38.7
6060, 51.2, 51.48, 38.7
6120, 51, 51.48, 38.7
6180, 50.8, 51.64, 38.6
6240, 50.7, 51.64, 38.6
6300, 50.6, 51.64, 38.6
6360, 50.6, 51.45, 38.7
6420, 50.7, 51.21, 38.6
6480, 50.9, 50.98, 38.6
6540, 51, 50.86, 38.6
6600, 51.2, 50.79, 38.5
6660, 51.3, 50.85, 38.5
6720, 51.4, 50.97, 38.5
6780, 51.4, 51.14, 38.5
6840, 51.4, 51.22, 38.5
6900, 51.4, 51.28, 38.5
6960, 51.4, 51.42, 38.5
7020, 51.4, 51.42, 38.5
7080, 51.4, 51.47, 38.5
7140, 51.4, 51.58, 38.6
7200, 51.4, 51.58, 38.6
7260, 51.4, 51.58, 38.6
7320, 51.4, 51.51, 38.6
7380, 51.4, 51.45, 38.6
7440, 51.5, 51.4, 38.6
7500, 51.5, 51.4, 38.6
7560, 51.6, 51.4, 38.6
7620, 51.6, 51.4, 38.7
7680, 51.7, 51.4, 38.8
7740, 51.7, 51.47, 38.8
7800, 51.7, 51.47, 38.9
7860, 51.7, 51.47, 38.9
7920, 51.7, 51.52, 39
7980, 51.7, 51.52, 38.9
8040, 51.7, 51.52, 38.9
8100, 51.7, 51.58, 38.8
8160, 51.7, 51.58, 38.8
8220, 51.8, 51.63, 38.8
8280, 51.7, 51.63, 38.8
8340, 51.8, 51.63, 38.8
8400, 51.8, 51.63, 38.8
8460, 51.8, 51.58, 38.8
8520, 51.8, 51.58, 38.8
8580, 51.8, 51.58, 38.8
8640, 51.9, 51.52, 38.8
8700, 51.8, 51.52, 38.8
8760, 51.8, 51.66, 38.8
8820, 51.8, 51.8, 38.8
8880, 51.8, 51.88, 38.8
8940, 52, 52, 38.8
9000, 52, 52, 38.7
9060, 52, 52.05, 38.7
9120, 52, 52.05, 38.8
9180, 52.1, 52.16, 38.9
9240, 52.1, 52.16, 39
9300, 52.1, 52.16, 39.1
9360, 52.1, 52.21, 39.1
9420, 52.2, 52.21, 39.2
9480, 52.2, 52.21, 39.2
9540, 52.2, 52.21, 39.3
9600, 52.2, 52.21, 39.2
9660, 52.2, 52.21, 39.3
9720, 52.1, 52.21, 39.3
9780, 52.1, 52.21, 39.3
9840, 52.1, 52.21, 39.3
9900, 52.1, 52.21, 39.3
9960, 52, 52.21, 39.4
10020, 52, 52.21, 39.3
10080, 52, 52.21, 39.4
10140, 52, 52.21, 39.4
10200, 52.1, 52.16, 39.5
10260, 52.1, 52.16, 39.4
10320, 52.2, 52.16, 39.3
10380, 52.2, 52.16, 39.4
10440, 52.2, 52.16, 39.4
10500, 52.2, 52.16, 39.5
10560, 52.2, 52.29, 39.5
10620, 52.2, 52.46, 39.5
10680, 52.2, 52.59, 39.5
10740, 52.2, 52.59, 39.5
10800, 52.2, 52.59, 39.6
10860, 52.3, 52.53, 39.6
10920, 52.4, 52.53, 39.6
10980, 52.4, 52.53, 39.6
11040, 52.4, 52.53, 39.6
11100, 52.4, 52.53, 39.7
11160, 52.4, 52.65, 39.7
11220, 52.5, 52.82, 39.7
11280, 52.5, 52.97, 39.7
11340, 52.5, 53.02, 39.8
11400, 52.5, 53.02, 39.8
11460, 52.5, 53.02, 39.8
11520, 52.5, 53.02, 39.7
11580, 52.5, 53.02, 39.7
11640, 52.6, 53.08, 39.7
11700, 52.6, 53.2, 39.7
11760, 52.7, 53.26, 39.6
11820, 52.8, 53.32, 39.6
11880, 52.8, 53.32, 39.6
11940, 52.8, 53.32, 39.7
12000, 52.8, 53.32, 39.7
12060, 52.8, 53.32, 39.7
12120, 52.9, 53.32, 39.7
12180, 52.9, 53.44, 39.7
12240, 52.9, 53.44, 39.7
12300, 52.8, 53.58, 39.8
12360, 52.8, 53.7, 39.8
12420, 52.9, 53.7, 39.9
12480, 52.8, 53.7, 39.9
12540, 52.8, 53.58, 39.9
12600, 52.8, 53.53, 39.9
12660, 52.8, 53.53, 39.9
12720, 52.8, 53.61, 39.9
12780, 52.8, 53.66, 39.9
12840, 52.9, 53.72, 39.9
12900, 52.9, 53.72, 39.9
12960, 52.9, 53.72, 39.9
13020, 52.9, 53.61, 39.9
13080, 52.9, 53.61, 39.9
13140, 52.9, 53.61, 39.9
13200, 52.8, 53.61, 39.9
13260, 52.8, 53.78, 39.9
13320, 52.8, 53.94, 39.9
13380, 52.8, 54.12, 39.9
13440, 52.8, 54.24, 39.9
13500, 52.8, 54.24, 39.9
13560, 52.8, 54.18, 39.9
13620, 52.8, 54.1, 39.9
13680, 52.8, 53.99, 39.9
13740, 52.8, 53.99, 39.9
13800, 52.8, 54.16, 39.9
13860, 52.8, 54.59, 39.9
13920, 52.9, 55.01, 39.9
13980, 52.9, 55.15, 39.9
14040, 52.9, 55.28, 39.9
14100, 52.9, 55.28, 39.9
14160, 52.9, 55.28, 39.8
14220, 52.9, 55.43, 39.8
14280, 53, 55.58, 39.8
14340, 53, 55.58, 39.8
14400, 53, 55.58, 39.8
14460, 53, 55.27, 39.8
14520, 53, 55, 39.8
14580, 53, 54.87, 39.8
14640, 53, 54.76, 39.8
14700, 53.1, 54.76, 39.8
14760, 53.1, 54.76, 39.9
14820, 53.2, 54.82, 40
14880, 53.2, 54.88, 40
14940, 53.2, 54.93, 40
15000, 53.2, 54.93, 40
15060, 53.2, 54.93, 40
15120, 53.2, 54.93, 40
15180, 53.1, 55.07, 40
15240, 53, 55.18, 39.9
15300, 53, 55.18, 39.9
15360, 53, 55.18, 39.9
15420, 53, 55.18, 39.9
15480, 52.8, 55.18, 39.9
15540, 52.8, 55.18, 40
15600, 52.8, 55.01, 40
15660, 52.7, 54.82, 40.1
15720, 52.6, 54.74, 40.1
15780, 52.6, 54.68, 40.1
15840, 52.6, 54.68, 40.2
15900, 52.6, 54.68, 40.2
15960, 52.6, 54.68, 40.2
16020, 52.6, 54.68, 40.1
16080, 52.6, 54.68, 40.1
16140, 52.6, 54.73, 40.1
16200, 52.6, 54.66, 40
16260, 52.5, 54.5, 40
16320, 52.5, 54.35, 40
16380, 52.5, 54.24, 40
16440, 52.5, 54.24, 40
16500, 52.5, 54.24, 40
16560, 52.5, 54.3, 39.9
16620, 52.5, 54.54, 40
16680, 52.5, 54.84, 40
16740, 52.5, 55.15, 40
16800, 52.5, 55.27, 40
16860, 52.5, 55.33, 40.1
16920, 52.5, 55.33, 40.1
16980, 52.5, 55.27, 40
17040, 52.5, 55.27, 40.1
17100, 52.6, 55.27, 40
17160, 52.6, 55.4, 39.8
17220, 52.6, 55.54, 39.8
17280, 52.6, 55.54, 39.8
17340, 52.7, 55.54, 39.7
17400, 52.7, 55.4, 39.8
17460, 52.9, 55.08, 39.9
17520, 53.1, 54.84, 40
17580, 53.1, 54.63, 39.9
17640, 53.1, 54.63, 39.9
17700, 53.3, 54.63, 39.9
17760, 53.3, 54.87, 39.9
17820, 53.3, 55.04, 39.9
17880, 53.3, 55.17, 39.8
17940, 53.3, 55.17, 39.8
18000, 53.3, 55.17, 39.7
18060, 53.3, 55.17, 39.8
18120, 53.3, 55.22, 39.8
18180, 53.2, 55.36, 39.7
18240, 53.2, 55.47, 39.7
18300, 53, 55.54, 39.8
18360, 53, 55.47, 39.7
18420, 53, 55.14, 39.6
18480, 53, 54.83, 39.6
18540, 53, 54.55, 39.6
18600, 53, 54.39, 39.7
18660, 53, 54.27, 39.7
18720, 53, 54.14, 39.6
18780, 53, 54.14, 39.6
18840, 53, 54.2, 39.5
18900, 53, 54.36, 39.5
18960, 53, 54.58, 39.5
19020, 53, 54.7, 39.4
19080, 52.9, 54.82, 39.4
19140, 52.8, 54.82, 39.3
19200, 52.7, 54.82, 39.3
19260, 52.7, 54.82, 39.3
19320, 52.5, 54.82, 39.3
19380, 52.5, 54.76, 39.4
19440, 52.5, 54.76, 39.4
19500, 52.5, 54.71, 39.5
19560, 52.5, 54.65, 39.5
19620, 52.5, 54.5, 39.5
19680, 52.5, 54.34, 39.5
19740, 52.5, 54.22, 39.5
19800, 52.5, 54.22, 39.4
19860, 52.5, 54.28, 39.4
19920, 52.5, 54.34, 39.4
19980, 52.5, 54.4, 39.5
20040, 52.5, 54.51, 39.5
20100, 52.5, 54.51, 39.4
20160, 52.5, 54.45, 39.5
20220, 52.5, 54.45, 39.4
20280, 52.5, 54.71, 39.4
20340, 52.5, 55.15, 39.4
20400, 52.5, 55.67, 39.4
20460, 52.5, 56.17, 39.4
20520, 52.5, 56.62, 39.4
20580, 52.5, 57.07, 39.4
20640, 52.6, 57.52, 39.4
20700, 52.6, 57.65, 39.4
20760, 52.8, 57.54, 39.4
20820, 52.9, 57.13, 39.4
20880, 53.5, 56.52, 39.4
20940, 54, 55.75, 39.3
21000, 54.6, 55.53, 39.2
21060, 55, 55.53, 39.2
21120, 55.3, 55.58, 39.1
21180, 55.5, 55.52, 39
21240, 55.6, 55.4, 38.9
21300, 55.6, 55.4, 38.8
21360, 55.6, 55.55, 38.7
21420, 55.3, 55.66, 38.7
21480, 55.1, 55.66, 38.6
21540, 54.9, 55.61, 38.6
21600, 54.6, 55.28, 38.6
21660, 54.3, 54.79, 38.5
21720, 54, 54.37, 38.4
21780, 53.5, 54.01, 38.4
21840, 53.1, 53.68, 38.3
21900, 52.6, 53.34, 38.3
21960, 52.3, 52.93, 38.3
22020, 52.2, 52.5, 38.2
22080, 52.2, 52.15, 38.2
22140, 52.2, 51.96, 38.1
22200, 52.2, 51.9, 38.1
22260, 52.2, 51.9, 38.1
22320, 52.2, 52.03, 38.1
22380, 52, 52.17, 38.2
22440, 51.7, 52.42, 38.3
22500, 51.5, 52.77, 38.3
22560, 51.3, 53.14, 38.4
22620, 51.1, 53.42, 38.3
22680, 51, 53.53, 38.3
22740, 50.8, 53.53, 38.2
22800, 50.8, 53.53, 38.3
22860, 50.9, 53.4, 38.2
22920, 51.1, 53.25, 38.2
22980, 51.2, 53.25, 38.2
23040, 51.4, 53.25, 38.2
23100, 51.8, 53.45, 38.3
23160, 51.8, 53.77, 38.3
23220, 52, 54.14, 38.2
23280, 52.1, 54.48, 38.1
23340, 52.1, 54.61, 38.1
23400, 52.1, 54.78, 38.1
23460, 52.1, 54.93, 38
23520, 52.1, 54.93, 38
23580, 52, 54.53, 37.9
23640, 52, 54.14, 37.9
23700, 52, 53.77, 37.9
23760, 52, 53.57, 37.9
23820, 52, 53.5, 37.9
23880, 52, 53.5, 37.9
23940, 52.1, 53.5, 38
24000, 52.1, 53.93, 38
24060, 52.1, 54.6, 38
24120, 52.1, 55.03, 37.9
24180, 52, 55.15, 37.8
24240, 51.9, 55.15, 37.8
24300, 51.9, 54.72, 37.7
24360, 51.9, 54.26, 37.7
24420, 51.9, 53.82, 37.7
24480, 52, 53.5, 37.8
24540, 52.1, 53.39, 37.7
24600, 52.3, 53.39, 37.7
24660, 52.4, 53.67, 37.6
24720, 52.4, 54, 37.5
24780, 52.4, 54.34, 37.5
24840, 52.4, 54.61, 37.5
24900, 52.4, 54.74, 37.6
24960, 52.4, 54.74, 37.6
25020, 52.2, 54.59, 37.6
25080, 52.2, 54.3, 37.6
25140, 52.2, 54.05, 37.6
25200, 52.2, 53.82, 37.5
25260, 52.2, 53.69, 37.5
25320, 52.3, 53.62, 37.5
25380, 52.4, 53.62, 37.3
25440, 52.4, 53.68, 37.3
25500, 52.4, 53.81, 37.3
25560, 52.4, 53.87, 37.2
25620, 52.4, 53.87, 37.3
25680, 52.4, 53.87, 37.3
25740, 52.4, 53.87, 37.3
25800, 52.4, 53.72, 37.3
25860, 52.4, 53.6, 37.3
25920, 52.4, 53.54, 37.3
25980, 52.4, 53.49, 37.2
26040, 52.4, 53.42, 37.2
26100, 52.3, 53.42, 37.2
26160, 52.2, 53.42, 37.2
26220, 52.1, 53.49, 37.2
26280, 52.1, 53.65, 37.2
26340, 52, 53.82, 37.2
26400, 51.9, 53.88, 37.2
26460, 51.8, 53.82, 37.2
26520, 51.7, 53.29, 37.2
26580, 51.7, 52.68, 37.2
26640, 51.7, 52.27, 37.2
26700, 51.7, 52.15, 37.2
26760, 51.7, 52.42, 37.2
26820, 51.7, 52.94, 37.3
26880, 51.7, 53.07, 37.3
26940, 51.7, 53.07, 37.2
27000, 51.8, 52.81, 37.2
