time,HTWR AVG,CT Fan SPD,CTW Flow,HTW Flow
0.0,97.24,99.2,9618.1,4303.4
120.0,97.42,99.2,9618.1,4323.3
240.0,97.83,99.2,9618.1,4344.2
360.0,97.99,99.2,9618.1,4337.2
480.0,97.99,99.2,9618.1,4318.8
600.0,97.66,99.2,9618.1,4287.7
720.0,97.66,99.2,9618.1,4287.7
840.0,97.66,99.2,9618.1,4270.7
960.0,97.66,99.2,9852.3,4281.4
1080.0,97.66,99.2,9982.6,4280.9
1200.0,97.82,99.2,10321.8,4299.4
1320.0,97.82,99.2,10557.4,4299.4
1440.0,97.82,99.2,10915.9,4324.2
1560.0,97.82,99.2,10915.9,4304.0
1680.0,97.67,99.2,11152.6,4285.5
1800.0,97.67,99.2,11034.7,4269.2
1920.0,97.67,99.2,11034.7,4298.7
2040.0,97.67,99.2,11034.7,4298.7
2160.0,97.67,99.2,11136.6,4267.5
2280.0,97.51,99.2,11027.0,4267.5
2400.0,97.19,99.2,11133.1,4267.5
2520.0,97.19,99.2,11133.1,4250.4
2640.0,97.19,99.2,11133.1,4250.4
2760.0,97.19,99.2,11133.1,4250.4
2880.0,97.19,99.2,11133.1,4195.8
3000.0,97.01,99.2,11133.1,4184.3
3120.0,96.5,99.2,11133.1,4116.8
3240.0,96.14,99.2,10915.9,4034.5
3360.0,95.77,99.2,11046.5,4015.1
3480.0,95.18,99.2,11046.5,3998.9
3600.0,95.18,99.2,11046.5,4035.8
3720.0,95.55,99.2,11046.5,3996.9
3840.0,95.89,99.2,11046.5,4066.7
3960.0,95.08,99.2,11046.5,4179.2
4080.0,96.18,99.2,10935.0,4194.4
4200.0,97.38,99.2,10939.1,4194.4
4320.0,97.53,99.2,11043.9,4130.9
4440.0,96.9,99.2,10869.5,4006.5
4560.0,96.12,99.2,10966.1,3989.7
4680.0,95.75,99.2,10966.1,4016.9
4800.0,95.75,99.2,10966.5,4038.0
4920.0,96.51,99.2,10966.5,4038.0
5040.0,96.51,98.1,12991.7,4046.6
5160.0,96.19,99.4,13859.0,3981.3
5280.0,95.45,99.4,13859.0,3881.5
5400.0,94.65,99.4,13859.0,3821.0
5520.0,94.65,99.4,13543.1,3684.4
5640.0,94.27,99.4,12763.0,3530.7
5760.0,93.57,99.2,11721.9,3457.4
5880.0,92.23,96.5,10048.4,3457.5
6000.0,91.77,90.4,7861.1,3500.1
6120.0,91.43,82.4,7070.9,3466.9
6240.0,91.43,74.9,7070.9,3299.8
6360.0,91.85,73.0,7070.9,3100.7
6480.0,91.42,74.9,7070.9,3026.0
6600.0,89.67,76.2,7070.9,3011.1
6720.0,88.53,76.5,7070.9,2924.9
6840.0,88.16,75.8,7070.9,2946.0
6960.0,87.83,73.9,7070.9,3025.0
7080.0,86.94,72.7,7070.9,3025.9
7200.0,85.16,72.0,7070.9,2937.4
7320.0,80.87,71.7,7070.9,2940.6
7440.0,77.33,71.7,6650.1,2985.1
7560.0,75.74,70.3,6650.1,3013.4
7680.0,74.82,68.8,6650.1,3028.2
7800.0,74.0,66.3,6399.0,3007.5
7920.0,73.14,64.2,6298.0,2997.5
8040.0,72.41,62.5,6298.0,3052.9
8160.0,72.09,61.0,6196.5,3041.9
8280.0,71.78,60.1,6196.5,2984.1
8400.0,71.46,59.2,6196.5,2952.3
8520.0,71.46,58.3,6196.5,2983.9
8640.0,71.46,57.7,5727.7,3038.0
8760.0,71.46,56.8,5727.7,3012.4
8880.0,71.46,56.4,5727.7,3006.5
9000.0,71.46,56.5,5727.7,3006.0
9120.0,71.46,56.9,5727.7,2973.2
9240.0,71.46,57.6,5727.7,3062.0
9360.0,71.28,57.9,5727.7,3012.8
9480.0,71.28,58.2,5727.7,2997.2
9600.0,71.28,58.1,5727.7,2974.0
9720.0,71.47,58.3,5727.7,2978.4
9840.0,71.62,58.1,5727.7,3019.6
9960.0,71.62,58.1,5625.2,3015.5
10080.0,71.62,57.8,5625.2,2959.3
10200.0,71.94,58.3,5625.2,2967.4
10320.0,71.94,58.3,5523.7,3003.3
10440.0,71.94,58.7,5089.9,3025.5
10560.0,71.94,58.7,5067.7,3028.4
10680.0,71.94,58.6,5273.7,2991.8
10800.0,71.94,58.7,5273.7,2993.3
10920.0,71.94,59.7,5273.7,3084.5
11040.0,71.94,60.9,4869.2,3056.8
11160.0,71.94,61.3,4757.6,3033.3
