time,PT-04C,PT-04B,PT-04A,DPT-07
0.0,23.3,23.6,23.6,23.7
30.0,23.3,23.6,23.6,23.7
60.0,23.3,23.6,23.6,23.8
90.0,23.3,23.6,23.6,23.8
120.0,23.3,23.6,23.6,23.9
150.0,23.3,23.6,23.6,23.9
180.0,23.3,23.6,23.6,23.9
210.0,23.3,23.6,23.6,24.0
240.0,23.3,23.6,23.6,24.0
270.0,23.3,23.6,23.6,24.0
300.0,23.3,23.6,23.6,24.0
330.0,23.3,23.6,23.6,24.1
360.0,23.3,23.6,23.6,24.1
390.0,23.3,23.6,23.6,24.0
420.0,23.3,23.6,23.6,24.0
450.0,23.3,23.6,23.6,24.0
480.0,23.3,23.6,23.6,24.1
510.0,23.3,23.6,23.6,24.1
540.0,23.3,23.6,23.6,24.1
570.0,23.3,23.6,23.6,24.2
600.0,23.3,23.6,23.6,24.2
630.0,23.3,23.6,23.6,24.1
660.0,23.3,23.6,23.6,24.1
690.0,23.3,23.6,23.6,24.1
720.0,23.3,23.6,23.6,24.0
750.0,23.3,23.6,23.6,24.0
780.0,23.3,23.6,23.6,24.0
810.0,23.3,23.6,23.6,24.0
840.0,23.3,23.6,23.6,24.0
870.0,23.3,23.6,23.6,24.0
900.0,23.3,23.6,23.6,24.0
930.0,23.3,23.7,23.6,24.0
960.0,23.4,23.7,23.7,23.9
990.0,23.4,23.7,23.7,23.9
1020.0,23.4,23.7,23.7,23.9
1050.0,23.5,23.8,23.8,23.9
1080.0,23.5,23.8,23.8,24.0
1110.0,23.5,23.8,23.8,24.0
1140.0,23.6,23.9,23.9,23.9
1170.0,23.6,23.9,23.9,23.9
1200.0,23.6,23.9,23.9,23.9
1230.0,23.7,24.0,24.0,23.9
1260.0,23.7,24.0,24.0,24.0
1290.0,23.7,24.0,24.0,23.9
1320.0,23.7,24.0,24.1,23.9
1350.0,23.8,24.1,24.1,23.9
1380.0,23.8,24.1,24.1,24.0
1410.0,23.8,24.1,24.1,23.9
1440.0,24.0,24.2,24.2,24.0
1470.0,24.0,24.2,24.2,24.0
1500.0,24.0,24.2,24.2,24.1
1530.0,24.0,24.2,24.2,24.1
1560.0,24.0,24.2,24.2,24.1
1590.0,24.0,24.2,24.2,24.1
1620.0,24.4,24.6,24.7,24.1
1650.0,24.0,24.3,24.2,24.1
1680.0,24.0,24.3,24.2,24.1
1710.0,24.0,24.2,24.2,24.1
1740.0,24.0,24.2,24.2,24.1
