time,CT Cells
0.0,11
4917.0,11
4918.0,12
4982.0,12
4983.0,13
5037.0,13
5038.0,14
7357.0,14
7358.0,13
7653.0,13
7654.0,12
8559.0,12
8560.0,11
10357.0,11
10358.0,10
10958.0,10
10959.0,9
13057.0,9
13058.0,8
13658.0,8
13659.0,7
20765.0,7
20766.0,8
21180.0,8
21181.0,9
21361.0,9
21362.0,10
21421.0,10
21422.0,11
21481.0,11
21482.0,12
21546.0,12
21547.0,13
22954.0,13
22955.0,12
23860.0,12
23861.0,11
26559.0,11
26560.0,10
27160.0,10
27161.0,9
29699.0,9
29700.0,10
29764.0,10
29765.0,11
29820.0,11
29821.0,12
29885.0,12
29886.0,13
29940.0,13
29941.0,14
31963.0,14
31964.0,13
32854.0,13
32855.0,12
34362.0,12
34363.0,11
39461.0,11
39462.0,10
40064.0,10
40065.0,9
40964.0,9
40965.0,8
41825.0,8
41826.0,9
41885.0,9
41886.0,10
41945.0,10
41946.0,11
42005.0,11
42006.0,12
42065.0,12
42066.0,13
44559.0,13
44560.0,12
45165.0,12
45166.0,11
46362.0,11
46363.0,10
49064.0,10
49065.0,9
49664.0,9
49665.0,8
51161.0,8
51162.0,7
65586.0,7
65587.0,8
65887.0,8
65888.0,9
65947.0,9
65948.0,10
66007.0,10
66008.0,11
66067.0,11
66068.0,12
67965.0,12
67966.0,11
68265.0,11
68266.0,10
71105.0,10
71106.0,11
78167.0,11
78168.0,10
79365.0,10
79366.0,9
79966.0,9
79967.0,8
80867.0,8
80868.0,7
81308.0,7
81309.0,8
81609.0,8
81610.0,9
81669.0,9
81670.0,10
81729.0,10
81730.0,11
81789.0,11
81790.0,12
83566.0,12
83567.0,11
86230.0,11
86231.0,12
86295.0,12
86296.0,13
86350.0,13
86351.0,14
86400.0,14
