time,power[1],power[2],power[3],power[4],power[5],power[6],power[7],power[8],power[9],power[10],power[11],power[12],power[13],power[14],power[15],power[16],power[17],power[18],power[19],power[20],power[21],power[22],power[23],power[24],power[25],OA Wetbulb Temp
0,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,1051410.991,4.833333333
15,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,1052963.667,4.805555556
30,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,1054517.434,4.777777778
45,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,1056072.293,4.75
60,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,1057628.244,4.722222222
75,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,1058806.442,4.708333333
90,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,1059985.296,4.694444444
105,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,1061164.804,4.680555556
120,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,1062344.968,4.666666667
135,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,1063778.027,4.666666667
