time,power,OA Wetbulb Temp
0,26285274.78,4.833333333
15,26324091.67,4.805555556
30,26362935.85,4.777777778
45,26401807.33,4.75
60,26440706.1,4.722222222
75,26470161.06,4.708333333
90,26499632.39,4.694444444
105,26529120.1,4.680555556
120,26558624.19,4.666666667
135,26594450.67,4.666666667
150,26630301.03,4.666666667
165,26666175.29,4.666666667
180,26702073.43,4.666666667
195,26733237.38,4.652777778
210,26764419.49,4.638888889
225,26795619.76,4.625
240,26826838.18,4.611111111
255,26834143.34,4.625
270,26841443.38,4.638888889
285,26848738.3,4.652777778
300,26856028.1,4.666666667
315,26853789.03,4.666666667
330,26851548.69,4.666666667
345,26849307.06,4.666666667
360,26847064.15,4.666666667
375,26824899.81,4.666666667
390,26802743.88,4.666666667
405,26780596.37,4.666666667
420,26758457.26,4.666666667
435,26744237.2,4.666666667
450,26730017.13,4.666666667
465,26715797.06,4.666666667
480,26701576.99,4.666666667
495,26651502.03,4.666666667
510,26601473.99,4.666666667
525,26551492.87,4.666666667
540,26501558.67,4.666666667
555,26443808.93,4.652777778
570,26386120.34,4.638888889
585,26328492.88,4.625
600,26270926.56,4.611111111
615,26270926.56,4.597222222
630,26270926.56,4.583333333
645,26270926.56,4.569444444
660,26270926.56,4.555555556
675,26270926.56,4.555555556
690,26270926.56,4.555555556
705,26270926.56,4.555555556
720,26270926.56,4.555555556
735,26257906.59,4.555555556
750,26244886.62,4.555555556
765,26231866.65,4.555555556
780,26218846.68,4.555555556
795,26205826.72,4.555555556
810,26192806.75,4.555555556
825,26179786.78,4.555555556
840,26166766.81,4.555555556
855,26182774.22,4.555555556
870,26198786.52,4.555555556
885,26214803.72,4.555555556
900,26230825.8,4.555555556
915,26239030.51,4.569444444
930,26247235.21,4.583333333
945,26255439.92,4.597222222
960,26263644.62,4.611111111
975,26263261.23,4.625
990,26262877.83,4.638888889
1005,26262494.43,4.652777778
1020,26262111.03,4.666666667
1035,26261727.64,4.666666667
1050,26261344.24,4.666666667
1065,26260960.84,4.666666667
1080,26260577.44,4.666666667
1095,26287295.83,4.666666667
1110,26314027.75,4.666666667
1125,26340773.2,4.666666667
1140,26367532.18,4.666666667
1155,26394304.7,4.666666667
1170,26421090.74,4.666666667
1185,26447890.33,4.666666667
1200,26474703.44,4.666666667
1215,26474703.44,4.666666667
1230,26474703.44,4.666666667
1245,26474703.44,4.666666667
1260,26474703.44,4.666666667
1275,26474703.44,4.638888889
1290,26474703.44,4.611111111
1305,26474703.44,4.583333333
1320,26474703.44,4.555555556
1335,26493792.52,4.541666667
1350,26512881.6,4.527777778
1365,26531970.67,4.513888889
1380,26551059.75,4.5
1395,26570148.83,4.486111111
1410,26589237.91,4.472222222
1425,26608326.98,4.458333333
1440,26627416.06,4.444444444
1455,26611867.7,4.444444444
1470,26596319.34,4.444444444
1485,26580770.98,4.444444444
1500,26565222.61,4.444444444
1515,26549674.25,4.444444444
1530,26534125.89,4.444444444
1545,26518577.53,4.444444444
1560,26503029.17,4.444444444
1575,26476989.27,4.444444444
1590,26450962.05,4.444444444
1605,26424947.52,4.444444444
1620,26398945.68,4.444444444
1635,26372956.52,4.444444444
1650,26346980.06,4.444444444
1665,26321016.28,4.444444444
1680,26295065.18,4.444444444
1695,26282563.44,4.416666667
1710,26270061.71,4.388888889
1725,26257559.97,4.361111111
1740,26245058.23,4.333333333
1755,26232556.49,4.333333333
1770,26220054.76,4.333333333
1785,26207553.02,4.333333333
1800,26195051.28,4.333333333
1815,26217677.13,4.347222222
1830,26240302.97,4.361111111
1845,26262928.81,4.375
1860,26285554.66,4.388888889
1875,26308180.5,4.375
1890,26330806.34,4.361111111
1905,26353432.19,4.347222222
1920,26376058.03,4.333333333
1935,26376058.03,4.333333333
1950,26376058.03,4.333333333
1965,26376058.03,4.333333333
1980,26376058.03,4.333333333
1995,26376058.03,4.319444444
2010,26376058.03,4.305555556
2025,26376058.03,4.291666667
2040,26376058.03,4.277777778
2055,26352128.33,4.291666667
2070,26328198.62,4.305555556
2085,26304268.91,4.319444444
2100,26280339.21,4.333333333
2115,26256409.5,4.333333333
2130,26232479.8,4.333333333
2145,26208550.09,4.333333333
2160,26184620.39,4.333333333
2175,26172133.68,4.333333333
2190,26159646.98,4.333333333
2205,26147160.27,4.333333333
2220,26134673.57,4.333333333
2235,26122186.86,4.333333333
2250,26109700.16,4.333333333
2265,26097213.45,4.333333333
2280,26084726.75,4.333333333
2295,26059753.33,4.333333333
2310,26034779.93,4.333333333
2325,26009806.52,4.333333333
2340,25984833.1,4.333333333
2355,25959859.7,4.333333333
2370,25934886.28,4.333333333
2385,25909912.88,4.333333333
2400,25884939.47,4.333333333
2415,25871974.25,4.333333333
2430,25859009.03,4.333333333
2445,25846043.82,4.333333333
2460,25833078.6,4.333333333
2475,25820113.39,4.333333333
2490,25807148.17,4.333333333
2505,25794182.95,4.333333333
2520,25781217.74,4.333333333
2535,25781217.74,4.319444444
2550,25781217.74,4.305555556
2565,25781217.74,4.291666667
2580,25781217.74,4.277777778
2595,25781217.74,4.277777778
2610,25781217.74,4.277777778
2625,25781217.74,4.277777778
2640,25781217.74,4.277777778
2655,25798318.16,4.263888889
2670,25815418.58,4.25
2685,25832519,4.236111111
2700,25849619.43,4.222222222
2715,25849619.43,4.222222222
2730,25849619.43,4.222222222
2745,25849619.43,4.222222222
2760,25849619.43,4.222222222
2775,25815872.32,4.222222222
2790,25782100.26,4.222222222
2805,25748303.23,4.222222222
2820,25714481.24,4.222222222
2835,25672923.77,4.222222222
2850,25631366.31,4.222222222
2865,25589808.84,4.222222222
2880,25548251.37,4.222222222
2895,25545634.78,4.208333333
2910,25543013.98,4.194444444
2925,25540388.98,4.180555556
2940,25537759.76,4.166666667
2955,25515210.54,4.166666667
2970,25492670.78,4.166666667
2985,25470140.48,4.166666667
3000,25447619.65,4.166666667
3015,25364995.29,4.166666667
3030,25282497.45,4.166666667
3045,25200126.14,4.166666667
3060,25117881.36,4.166666667
3075,25044852.97,4.166666667
3090,24971914.07,4.166666667
3105,24899064.67,4.166666667
3120,24826304.76,4.166666667
3135,24737230.92,4.152777778
3150,24648292.52,4.138888889
3165,24559489.58,4.125
3180,24470822.1,4.111111111
3195,24382290.07,4.125
3210,24293893.5,4.138888889
3225,24205632.38,4.152777778
3240,24117506.72,4.166666667
3255,24084576.37,4.152777778
3270,24051668.19,4.138888889
3285,24018782.19,4.125
3300,23985918.36,4.111111111
3315,23953076.7,4.111111111
3330,23920257.22,4.111111111
3345,23887459.91,4.111111111
3360,23854684.77,4.111111111
3375,23809628.65,4.111111111
3390,23764605.87,4.111111111
3405,23719616.41,4.111111111
3420,23674660.28,4.111111111
3435,23635596.76,4.111111111
3450,23596560.64,4.111111111
3465,23557551.92,4.111111111
3480,23518570.61,4.111111111
3495,23554483.63,4.125
3510,23590416.9,4.138888889
3525,23626370.41,4.152777778
3540,23662344.16,4.166666667
3555,23698338.16,4.152777778
3570,23734352.4,4.138888889
3585,23770386.88,4.125
3600,23806441.61,4.111111111
3615,23813879.35,4.097222222
3630,23821229.94,4.083333333
3645,23828493.38,4.069444444
3660,23835669.68,4.055555556
3675,23833955.63,4.041666667
3690,23832175.77,4.027777778
3705,23830330.11,4.013888889
3720,23828418.65,4
3735,23914131.02,3.986111111
3750,23999990.19,3.972222222
3765,24085996.14,3.958333333
3780,24172148.89,3.944444444
3795,24264359.73,3.944444444
3810,24356742.88,3.944444444
3825,24449298.36,3.944444444
3840,24542026.16,3.944444444
3855,24566443.77,3.944444444
3870,24590444.76,3.944444444
3885,24614029.14,3.944444444
3900,24637196.91,3.944444444
3915,24659948.07,3.944444444
3930,24682282.61,3.944444444
3945,24704200.54,3.944444444
3960,24725701.86,3.944444444
3975,24837872.63,3.944444444
3990,24950135.13,3.944444444
4005,25062489.36,3.944444444
4020,25174935.32,3.944444444
4035,25270620.83,3.944444444
4050,25366382.77,3.944444444
4065,25462221.16,3.944444444
4080,25558135.99,3.944444444
4095,25650182.1,3.930555556
4110,25742228.2,3.916666667
4125,25834274.31,3.902777778
4140,25926320.42,3.888888889
4155,26018366.53,3.875
4170,26110412.64,3.861111111
4185,26202458.74,3.847222222
4200,26294504.85,3.833333333
4215,26256229.01,3.833333333
4230,26217909.62,3.833333333
4245,26179546.69,3.833333333
4260,26141140.21,3.833333333
4275,26102690.18,3.833333333
4290,26064196.6,3.833333333
4305,26025659.48,3.833333333
4320,25987078.81,3.833333333
4335,25841841.85,3.819444444
4350,25696963.2,3.805555556
4365,25552442.86,3.791666667
4380,25408280.82,3.777777778
4395,25264477.1,3.777777778
4410,25121031.67,3.777777778
4425,24977944.56,3.777777778
4440,24835215.75,3.777777778
4455,24765078.65,3.777777778
4470,24695001.47,3.777777778
4485,24624984.19,3.777777778
4500,24555026.82,3.777777778
4515,24485129.36,3.777777778
4530,24415291.81,3.777777778
4545,24345514.17,3.777777778
4560,24275796.44,3.777777778
4575,24269465.33,3.777777778
4590,24263088.21,3.777777778
4605,24256665.07,3.777777778
4620,24250195.92,3.777777778
4635,24243680.76,3.777777778
4650,24237119.59,3.777777778
4665,24230512.41,3.777777778
4680,24223859.21,3.777777778
4695,24239764.62,3.791666667
4710,24255670.03,3.805555556
4725,24271575.43,3.819444444
4740,24287480.84,3.833333333
4755,24303386.25,3.833333333
4770,24319291.65,3.833333333
4785,24335197.06,3.833333333
4800,24351102.47,3.833333333
4815,24399840.12,3.819444444
4830,24448577.77,3.805555556
4845,24497315.42,3.791666667
4860,24546053.07,3.777777778
4875,24602175.21,3.777777778
4890,24658297.36,3.777777778
4905,24714419.5,3.777777778
4920,24770541.64,3.777777778
4935,24777136.08,3.763888889
4950,24783730.51,3.75
4965,24790324.95,3.736111111
4980,24796919.39,3.722222222
4995,24803513.82,3.708333333
5010,24810108.26,3.694444444
5025,24816702.69,3.680555556
5040,24823297.13,3.666666667
5055,24782087.78,3.680555556
5070,24740842.6,3.694444444
5085,24699561.59,3.708333333
5100,24658244.76,3.722222222
5115,24621287.46,3.722222222
5130,24584276.41,3.722222222
5145,24547211.63,3.722222222
5160,24510093.12,3.722222222
5175,24407164.46,3.722222222
5190,24304400.07,3.722222222
5205,24201799.93,3.722222222
5220,24099364.06,3.722222222
5235,23979892.28,3.722222222
5250,23860694.26,3.722222222
5265,23741770.01,3.722222222
5280,23623119.52,3.722222222
5295,23537420.55,3.736111111
5310,23451876.47,3.75
5325,23366487.28,3.763888889
5340,23281253,3.777777778
5355,23200391.09,3.777777778
5370,23119667.48,3.777777778
5385,23039082.17,3.777777778
5400,22958635.16,3.777777778
5415,22890821.46,3.791666667
5430,22822695.51,3.805555556
5445,22754257.29,3.819444444
5460,22685506.81,3.833333333
5475,22616444.08,3.833333333
5490,22547069.08,3.833333333
5505,22477381.83,3.833333333
5520,22407382.32,3.833333333
5535,22298581.09,3.847222222
5550,22189695.53,3.861111111
5565,22080725.65,3.875
5580,21971671.44,3.888888889
5595,21853345.87,3.888888889
5610,21735034.35,3.888888889
5625,21616736.89,3.888888889
5640,21498453.48,3.888888889
5655,21424630.93,3.888888889
5670,21350902.22,3.888888889
5685,21277267.33,3.888888889
5700,21203726.28,3.888888889
5715,21125180.67,3.888888889
5730,21046755.71,3.888888889
5745,20968451.39,3.888888889
5760,20890267.71,3.888888889
5775,20828380.35,3.888888889
5790,20766492.55,3.888888889
5805,20704604.3,3.888888889
5820,20642715.6,3.888888889
5835,20574503.62,3.875
5850,20506291.14,3.861111111
5865,20438078.17,3.847222222
5880,20369864.71,3.833333333
5895,20401236.95,3.833333333
5910,20432609.19,3.833333333
5925,20463981.44,3.833333333
5940,20495353.68,3.833333333
5955,20517805.69,3.805555556
5970,20540230.44,3.777777778
5985,20562627.91,3.75
6000,20584998.13,3.722222222
6015,20550361.75,3.722222222
6030,20515749.65,3.722222222
6045,20481161.85,3.722222222
6060,20446598.33,3.722222222
6075,20400605.94,3.722222222
6090,20354665.16,3.722222222
6105,20308775.99,3.722222222
6120,20262938.43,3.722222222
6135,20120691.5,3.708333333
6150,19978689.05,3.694444444
6165,19836931.06,3.680555556
6180,19695417.54,3.666666667
6195,19573825.61,3.666666667
6210,19452233.69,3.666666667
6225,19330641.77,3.666666667
6240,19209049.84,3.666666667
6255,19089326.6,3.666666667
6270,18969221.04,3.666666667
6285,18848733.18,3.666666667
6300,18727863,3.666666667
6315,18628676.9,3.680555556
6330,18528762.6,3.694444444
6345,18428120.09,3.708333333
6360,18326749.36,3.722222222
6375,18274386.55,3.708333333
6390,18222006.66,3.694444444
6405,18169609.69,3.680555556
6420,18117195.64,3.666666667
6435,18063647.52,3.666666667
6450,18010089.15,3.666666667
6465,17956520.53,3.666666667
6480,17902941.67,3.666666667
6495,17808413.52,3.666666667
6510,17713988.23,3.666666667
6525,17619665.8,3.666666667
6540,17525446.23,3.666666667
6555,17425812.76,3.652777778
6570,17326288.97,3.638888889
6585,17226874.84,3.625
6600,17127570.4,3.611111111
6615,16997146.41,3.611111111
6630,16867218.98,3.611111111
6645,16737788.11,3.611111111
6660,16608853.8,3.611111111
6675,16473926.42,3.611111111
6690,16339542.89,3.611111111
6705,16205703.22,3.611111111
6720,16072407.4,3.611111111
6735,16048889.02,3.611111111
6750,16025302.15,3.611111111
6765,16001646.79,3.611111111
6780,15977922.94,3.611111111
6795,15963802.05,3.611111111
6810,15949630.03,3.611111111
6825,15935406.89,3.611111111
6840,15921132.61,3.611111111
