time,power[1],power[2],power[3],power[4],power[5],power[6],power[7],power[8],power[9],power[10],power[11],power[12],power[13],power[14],power[15],power[16],power[17],power[18],power[19],power[20],power[21],power[22],power[23],power[24],power[25],OA Wetbulb Temp
0,860926.0197,860926.0197,773564.3757,701936.1084,701936.1084,701936.1084,622406.3286,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,181202.1429,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,4
15,860926.0197,860926.0197,773564.3757,701936.1084,701936.1084,701936.1084,622406.3286,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,181202.1429,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,4.000000965
30,860926.0197,860926.0197,773564.3757,701936.1084,701936.1084,701936.1084,622406.3286,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,181202.1429,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,4.000003858
45,860926.0197,860926.0197,773564.3757,701936.1084,701936.1084,701936.1084,622406.3286,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,181202.1429,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,4.000008681
60,860926.0197,860926.0197,773564.3757,701936.1084,701936.1084,701936.1084,622406.3286,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,181202.1429,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,4.000015432
75,860926.0197,860926.0197,773564.3757,701936.1084,701936.1084,701936.1084,622406.3286,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,181202.1429,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,4.000024113
90,860926.0197,860926.0197,773564.3757,701936.1084,701936.1084,701936.1084,622406.3286,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,181202.1429,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,4.000034722
105,860926.0197,860926.0197,773564.3757,701936.1084,701936.1084,701936.1084,622406.3286,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,181202.1429,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,4.000047261
120,860926.0197,860926.0197,773564.3757,701936.1084,701936.1084,701936.1084,622406.3286,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,181202.1429,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,4.000061728
135,860926.0197,860926.0197,773564.3757,701936.1084,701936.1084,701936.1084,622406.3286,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,181202.1429,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,271803.2143,4.000078125
