time,power,OA Wetbulb Temp
0,10025487.85,4
15,10025487.85,4.000000965
30,10025487.85,4.000003858
45,10025487.85,4.000008681
60,10025487.85,4.000015432
75,10025487.85,4.000024113
90,10025487.85,4.000034722
105,10025487.85,4.000047261
120,10025487.85,4.000061728
135,10025487.85,4.000078125
150,10025487.85,4.00009645
165,10025487.85,4.000116705
180,10025487.85,4.000138888
195,10025487.85,4.000163
210,10025487.85,4.000189042
225,10025487.85,4.000217012
240,10025487.85,4.000246911
255,10025487.85,4.000278739
270,10025487.85,4.000312496
285,10025487.85,4.000348182
300,10025487.85,4.000385796
315,10025487.85,4.00042534
330,10025487.85,4.000466812
345,10025487.85,4.000510213
360,10025487.85,4.000555543
375,10025487.85,4.000602801
390,10025487.85,4.000651988
405,10025487.85,4.000703104
420,10025487.85,4.000756149
435,10025487.85,4.000811122
450,10025487.85,4.000868024
465,10025487.85,4.000926855
480,10025487.85,4.000987614
495,10025487.85,4.001050301
510,10025487.85,4.001114917
525,10025487.85,4.001181462
540,10025487.85,4.001249935
555,10025487.85,4.001320336
570,10025487.85,4.001392666
585,10025487.85,4.001466924
600,10025487.85,4.001543111
615,10025487.85,4.001621225
630,10025487.85,4.001701268
645,10025487.85,4.001783239
660,10025487.85,4.001867139
675,10025487.85,4.001952966
690,10025487.85,4.002040722
705,10025487.85,4.002130405
720,10025487.85,4.002222016
735,10025487.85,4.002315556
750,10025487.85,4.002411023
765,14014113.61,4.002508418
780,14014113.61,4.002607741
795,14014113.61,4.002708992
810,14014113.61,4.00281217
825,14014113.61,4.002917276
840,14014113.61,4.00302431
855,14014113.61,4.003133271
870,14014113.61,4.00324416
885,14014113.61,4.003356976
900,14014113.61,4.00347172
915,14014113.61,4.003588391
930,14014113.61,4.003706989
945,14014113.61,4.003827514
960,14014113.61,4.003949967
975,14014113.61,4.004074347
990,14014113.61,4.004200653
1005,14014113.61,4.004328887
1020,14014113.61,4.004459048
1035,14014113.61,4.004591135
1050,14014113.61,4.00472515
1065,14014113.61,4.004861091
1080,14014113.61,4.004998958
1095,14014113.61,4.005138753
1110,14014113.61,4.005280474
1125,14014113.61,4.005424121
