time,power[1],power[2],power[3],power[4],power[5],power[6],power[7],power[8],power[9],power[10],power[11],power[12],power[13],power[14],power[15],power[16],power[17],power[18],power[19],power[20],power[21],power[22],power[23],power[24],power[25],OA Wetbulb Temp
0.0,251428.0392652217,255940.1114391959,247485.04390768366,258337.35206972214,261855.02566099772,255942.98950537815,265068.88657559385,251734.71963571518,257065.37870926736,258678.4530245291,259027.01886875607,255257.4979507255,254207.77257755309,165803.93291406173,269075.27252085647,242628.2823397511,245785.46175296226,258216.4264814676,258220.83413168727,253370.37502458467,251977.95812803207,271947.7202080861,259748.6721470102,270469.6271971498,259399.195686092,4.833333333333335
15.0,256775.20415284118,251544.1011489885,251764.81857854556,247679.71489907932,267298.61429010844,255754.6259279626,259277.72069362516,253315.60296243613,270541.8773429569,264047.56639925885,266097.71941623697,257663.67372205388,252860.12790059458,157114.8506015785,264231.866900293,253953.9051064267,235731.78167385218,252620.21824086318,257214.04700594576,251036.61618153716,243494.95350283018,270455.13868593774,253304.06309421177,269488.0461187827,265599.703369822,4.805555555555559
30.0,253554.2768020264,256261.49058063922,249882.5424550994,251415.37399601602,262257.8039565885,251020.01028455896,261332.43145412055,249032.36480426852,267416.20779917296,265824.49175942753,269032.6836648031,264612.0582321527,255624.71445905342,166636.50105734597,265674.2891236299,247620.89106596608,241609.1862580548,258965.676612003,252669.31561825695,249885.76535108345,249120.27136130913,263208.36682478606,266503.563589822,269837.54553632054,269905.0318089749,4.777777777777779
45.0,260334.75538697804,252467.8443082363,247965.15927688408,252868.9239447481,260480.2786512102,247836.87391584695,257404.14229088384,249808.73334885287,274863.07780133036,260814.6318397356,270231.65486157336,261186.40608937517,247582.2266842148,168121.23967656813,261105.75263851666,244729.32651822202,246737.32763588004,260989.63697721952,259108.32374067156,252526.0067899197,259971.9597348171,272242.54430054495,260648.20580705727,264819.90350653126,246850.33481029578,4.749999999999998
60.0,249665.63617110316,257281.1628705005,263896.8938373341,255206.30223190782,260571.99055126111,250578.80212919155,257730.59786182575,253217.51720133168,264864.0190487641,259432.87182888988,262134.10697724507,262622.5419675469,254150.19324890603,163594.98985335467,268768.5602229973,248069.71436658135,250870.22472079293,260229.6943367081,257736.4511542819,253245.86850747553,257141.71108643065,265295.0643747674,259192.72972161393,276859.3657131728,254321.12843271086,4.722222222222222
75.0,253221.07339168288,248928.95344366456,248689.13315500008,259638.4842665002,251474.5834525406,257743.51727502706,262411.15414434543,248578.10871458106,264434.76350752776,252244.8885288258,265511.9366711755,258271.68856412475,251664.49163440717,161489.15932790414,263484.9697895358,253235.11400875956,249933.4764056958,255270.91936686228,252822.54268574013,243218.01305316534,255854.95516966487,269482.93131038366,259681.40276218942,266295.8480503242,256282.403085342,4.708333333333334
90.0,255053.07990174773,251334.8593099367,250859.954132962,243964.57338020756,267487.29876353237,254935.93226050714,269363.9704646129,254120.5316828964,264337.724175864,264262.1551773657,262960.145922129,259742.94775955667,255612.12167740567,161255.72095961025,262209.0942090305,248670.61002205775,251743.79159160206,253555.97402512547,251570.36542476964,254584.34586319464,257558.60314195027,270809.15736965695,259415.9679268145,272127.15900007024,254362.58367127145,4.694444444444446
105.0,251276.91543038966,250848.7888131485,252958.42845515444,250868.325007174,263398.2499597563,255906.83386305897,272538.76312944683,250040.61695647225,270151.28869702725,260161.64211312213,266739.34438161843,257968.58731156684,255808.4533879839,164119.96791475784,264776.0812747851,253112.61069139515,245200.7983098439,260804.88164113648,259113.0877148433,249766.9325687469,251714.30887301188,267553.9106933776,261322.558328446,266504.2565902621,258462.47053248508,4.680555555555554
120.0,250907.99283833578,251652.71241184016,251035.79061976672,252015.43192068717,260963.75618552396,250408.80634163626,264457.8331986377,250442.67879388126,261201.93710053695,260699.94820260737,266015.7403870379,263046.6814228287,256093.9035296124,167353.2944043759,261052.59880575063,251420.65902369897,243659.525341682,251549.3977308931,255006.92633790296,249705.84091822532,252775.63166378642,268222.3285767691,259153.84202804917,269543.74441304983,262280.18610811024,4.666666666666666
135.0,256844.86827447137,246880.15445259967,250767.83205101558,251474.0497756362,266114.40645893797,247712.1547211434,260883.77722322708,251235.0254123891,260632.23318849626,262212.0690506969,261664.58979795384,270000.2947979116,252712.8283307986,156150.5153367788,256221.49760080263,248069.09867176664,238215.0282786725,257618.87437817725,252421.04479563417,252110.67194466206,252413.97800604248,267061.6400949587,256055.14312154715,267046.80544404365,258714.16588577128,4.666666666666666
