time,power[1],power[2],power[3],power[4],power[5],power[6],power[7],power[8],power[9],power[10],power[11],power[12],power[13],power[14],power[15],power[16],power[17],power[18],power[19],power[20],power[21],power[22],power[23],power[24],power[25],OA Wetbulb Temp
0.0,981511.9356517945,976679.8051840452,956456.3878413666,966148.5756607869,1006699.8813561965,970152.6841877827,998257.7313964539,969876.6389771659,1032893.948999618,999174.1364394096,1026897.8414346281,1006685.0245568067,973139.6307175991,632852.2384964274,998199.1570504361,956692.7168662633,941657.6882783903,990343.1960654234,981893.0315120625,966100.7495330038,973355.4581882351,1030968.9730676647,994321.3784591923,1021994.616326942,988577.8097613393,20.8
15.0,982609.3960554234,976869.5208509387,956685.2859346055,960714.6291432212,1008674.2522837311,970721.6875206135,999612.3557426409,967856.8175475443,1034351.2444750643,995744.0752762317,1025201.8691438705,1004592.0127571335,967325.3264403198,633082.2375212357,1000240.2417359232,955396.6140294987,942842.5666570179,991223.7479587215,979403.3614256873,968278.2744768214,972914.0151611605,1029658.524551898,994314.1421607392,1019881.5015057874,989095.4393007946,20.8
30.0,973397.0431172851,976328.610024032,953368.2744247931,958954.7077491703,1003272.5283000467,966106.8052577627,993658.3155061984,965712.0251894196,1028044.346236265,994288.1200623591,1019148.5941662081,999740.0669196844,967393.985104416,630213.1433327966,997738.7666229239,948810.6623769803,937134.3303065312,987349.0356054944,976443.7272174397,964219.4771134699,970024.051274205,1023727.8219309389,991794.6464249977,1019911.953459997,983568.1805160126,20.8
45.0,976545.0385393741,977635.7573837144,959376.4230031238,964656.7571019907,1007334.2797046844,968755.8707673852,994982.4878485054,965736.1494510997,1027513.3325330907,997005.0491683709,1021258.1712891909,1002186.2986794029,966496.2757541697,631338.588409909,998849.9126736355,953593.5208407986,940148.7878540357,985015.8566424928,980108.6184315688,964363.3381235683,970011.6589591333,1025867.6044031165,993738.0776441842,1021492.8608235547,984052.7354239697,20.8
60.0,974612.7708834115,977813.6256015638,961030.09014884,964544.3136605727,1005507.0844042209,968916.0143265428,994622.9449371526,965181.4617620942,1026391.5671558782,996647.9182663712,1024604.9080602081,1000277.0318802253,964258.6203329122,632657.0542391445,999956.8271131541,950578.2972980549,940185.0017186659,984090.7360948402,977068.7029728615,965842.0688742627,968534.2424527183,1028151.0800721891,993679.8360688327,1025201.3215304889,984569.9027389655,20.8
75.0,974919.3759334349,979444.6139844585,963128.222606443,966286.4899381624,1007931.0515977,968142.8741947616,997292.7705515836,967013.1547966663,1024193.105280318,999722.5365610927,1024905.0387779785,1000888.7549772916,968276.3549127833,633070.3489892344,1004987.9022322716,952154.9056597687,942157.0939640471,983409.2770833812,980357.537331504,965757.3052310633,969205.4955364665,1027592.0168170226,995328.6643877637,1031322.2953065361,985433.6882544253,20.8
90.0,973673.2030993811,981172.9804592144,962634.9245145193,968098.417105311,1006012.9554890296,971731.5558545166,997132.5453790092,965330.6096441867,1028522.6201616675,997235.6638143938,1023883.5205973798,1000783.8476364567,968174.9601301367,634427.3807710945,1003183.6005503373,953790.9117879925,943002.17951128,989367.2576528465,978788.4903491675,968655.2485413306,969370.220721684,1029893.5047880181,999154.167308548,1032410.7682529534,987140.8537968086,20.8
105.0,974676.8820522615,979410.0086848582,965154.3531672898,966564.9999936995,1004892.4347127774,970710.2225665023,997818.331700087,968274.1560256389,1027054.2865724651,997456.7631030916,1025648.3492317451,1000062.9684407722,971618.726636577,636389.0009909514,1004670.7840449822,956063.4923442802,944488.592869491,990443.5282719599,980784.6611684836,966183.7668750803,964657.5889001336,1029096.8885298182,1000756.4519999237,1030586.4573889849,990923.84817076,20.8
120.0,978543.4781034774,979033.2324645355,969206.7543029283,973849.0423673709,1009492.1313079793,973376.9009150274,1003727.781061809,969518.597089964,1028725.3138593492,1006799.7639697484,1026214.8782562036,1005584.7846766622,974386.0456764341,636792.9928996343,1006668.0236452929,956780.8099688651,950747.9300658527,994826.7867276584,983896.6439126094,974843.8328199969,972669.078855721,1034054.5931070521,1002576.5775825552,1032979.7701411834,993128.1295942776,20.8
135.0,979355.504031771,980589.9650654988,968143.3843424468,973532.9167578614,1014982.3953566592,977869.7961513483,1005942.6857637459,971820.0209756977,1028297.9765479799,1004636.1749187489,1024956.6513351587,1006389.4366763219,976937.6328075934,637916.1203590927,1005438.4270286835,958415.3208364826,950095.1249103566,994899.2744915856,984214.3210885368,974831.0605067479,971556.6563105056,1032350.923372079,1002946.7186542685,1033871.0789764964,995954.9008770642,20.8
150.0,980371.3851149853,977373.310010015,967248.4629854899,971746.6775718725,1016090.9395116845,977507.5335577596,1006562.8602255149,973049.2670998824,1030780.2570542322,1003798.9491574041,1026756.295220782,1007360.8183296536,976420.1111053712,638865.7877895763,1002162.572231092,959199.9571108761,952450.3538844971,995962.5669022046,980224.19825739,971361.899724003,973225.9788114303,1032786.0600220653,999982.6308621271,1031449.5065792882,993699.1704045244,20.8
165.0,978453.5851394138,975391.2106275697,961530.5073043351,968975.6276100989,1014222.7947639981,973482.6242505006,1003010.0093794292,967864.1544432578,1027617.5983721094,1001814.7685641128,1025376.0908926781,1004086.3868979343,974121.932098513,637349.2966732713,997197.3051411621,961689.4222152436,951119.8429941636,994610.4739744294,977625.5572525001,970415.7382513043,970349.0229491551,1030771.3536683794,998399.3789755013,1025245.453719131,995625.3009745366,20.8
180.0,982002.0464252756,977194.8020247952,966503.9660870004,974086.8203013216,1021690.9286378761,975869.7473714036,1005548.1320022037,971264.5529333358,1029899.6451837809,1005099.0552039044,1027819.7497198029,1008024.5667580416,976488.4662351095,642028.5866398847,1004080.3402154014,962828.3472381104,951667.9941364147,996920.1510224215,983218.7298472809,971987.6118914717,976106.7843298258,1035372.5142719505,999743.7201209015,1027163.9098990101,997256.2735612239,20.8
195.0,982427.1054396171,981710.3092093654,968257.4388055224,973309.7361885938,1021266.3437956468,975988.229442315,1009108.1260603771,969785.7771903352,1033252.0514763559,1003230.2713360572,1031277.4315227339,1009521.0053439204,974388.1736727079,642526.6639664724,1008890.502703682,961360.934885055,950539.6754919366,996125.1580525505,985369.1115240443,975526.8972750643,974880.7137416138,1035990.0262075741,1001859.8635976088,1028506.1903991913,997694.2066381442,20.8
210.0,988365.8104628872,981697.7820515935,969397.0876878907,969703.4353841064,1024529.959504285,978783.7843979021,1010670.4474694002,970248.8145765729,1032787.9093518145,1010161.9456666245,1036906.9123960845,1013776.707378214,976199.797230353,644307.1441970994,1006154.6227662893,966407.8246802199,953061.7084432192,997504.5650187605,988617.1410763146,977864.5760612554,977254.2904922174,1040771.2558326488,1001252.8926886509,1029859.7538575489,998980.1506994799,20.8
