time,power[1],power[2],power[3],power[4],power[5],power[6],power[7],power[8],power[9],power[10],power[11],power[12],power[13],power[14],power[15],power[16],power[17],power[18],power[19],power[20],power[21],power[22],power[23],power[24],power[25],OA Wetbulb Temp
0.0,986265.6785542368,978000.4040677961,958714.2155280673,972095.116606809,995438.5444001189,961166.4207838941,1002484.3735997152,954915.6673596371,1027803.234049571,988490.4436209613,1007437.2156249463,990914.8318363179,956479.5056198982,634845.9901736833,992671.1205146589,942717.9415412343,936330.058276552,976806.9177249691,968128.6703790795,962680.9689706259,960143.3873161543,1024127.1448268815,993099.9828466222,1028714.3446720763,989822.6359218138,4.833333333333335
15.0,971964.846613208,962011.363650201,952112.9998715195,958565.4135468809,991051.0907395453,951598.3123637466,987464.0433496066,952329.3959873064,1026338.7492540473,982125.9925386226,1003917.8712340518,989067.6446846804,954641.7526954504,637385.9301500047,992340.6456439294,934878.4325440214,924929.7504887437,971197.6355414634,953980.1878418889,959015.0960685753,953106.4118249604,1015147.7429738576,984449.3538554849,1020179.7099189773,979026.9406421229,4.805555555555559
30.0,987195.9277601911,973759.9932463401,965736.3082825667,969090.5196838821,999940.7117494465,963567.797529523,993913.0533475172,959991.0018700946,1029387.2001444163,998445.9015431935,1015245.1049919081,1006192.6102807493,963023.7561133744,642964.3437063165,1003091.2143084991,948797.2030413694,938851.3820295923,982706.6744372621,966859.5061944413,969012.7461955022,966862.6485430219,1021849.6503754029,994869.2390167268,1026987.1241282044,990234.8866689341,4.777777777777779
45.0,981823.1452278428,974405.818712814,973303.8988680842,971339.6335165747,1008563.9969461818,963035.2653108806,994449.3048358004,968635.6200586525,1029622.6957108399,996598.9091108569,1020942.3763905703,1008263.573664325,964221.359678228,643192.379830597,1003460.8423631121,946704.1733251493,946805.5537718886,983268.8390610584,967755.101452184,968577.6518489697,972756.3341041886,1020392.4964239645,990864.5548728077,1023295.544593718,997494.0327596712,4.749999999999998
60.0,968734.0245446564,968676.0569364004,965982.9971011326,963731.6828576985,997728.9432216878,955954.0426568814,991913.3094131432,961701.2988695286,1014833.390899594,989770.6080039782,1013342.887276623,999649.1771723144,951108.5365094297,635558.0743865964,985409.3004115865,943574.9611944759,938985.6444081175,976397.4207028219,967481.5976429435,952754.516595761,956599.0072677052,1010673.5523890175,998510.2044899203,1016792.8046452531,996083.300399281,4.722222222222222
75.0,965693.0673733365,950720.9430266683,951173.9424454401,955194.2055877041,999065.7360451965,956479.6099657321,981668.2179386786,956662.7854774971,1008135.8474260924,981607.9065316501,1007683.0180928665,988808.7928032363,945346.3266714752,632535.8505381382,978132.9166805511,938389.2813867563,921252.7926225731,973246.9034242034,965385.7577004614,941923.508541804,948109.1105913037,1005297.3683803832,981931.0753807592,1007479.194858106,982159.4322405772,4.708333333333334
90.0,734285.129426889,724602.0436498618,725307.790502949,723750.5498621454,755586.851716832,726306.8338039683,751720.746337171,726760.507331848,761670.0106073464,747883.0916356524,767815.5916798362,752951.2892510587,722892.2737706271,481182.1043605179,740198.1111512013,705888.9720125388,701404.7938875012,739033.2551458369,736231.0774553154,714351.2686476562,724293.9794836948,762915.650327059,741196.5413687818,764344.5650647994,749360.7725446678,4.694444444444446
105.0,498030.0864920333,494657.67592405155,490912.2691957478,491709.79948820337,511094.5625566463,490207.9788331909,509894.57633133244,492649.4851575885,519638.1847970049,507387.95925207075,520263.55168008397,512988.46186292596,492575.99875538796,324003.6638319795,505620.7025590783,481944.15609416633,476730.9535333281,499637.0018536775,497531.34938906075,488494.2977472299,492195.8555869186,520284.38684589404,506702.27717171446,521070.9966082533,509205.6854013695,4.680555555555554
120.0,254990.1924920566,254966.42336840002,252266.3485981446,252441.85081726845,262212.52656904573,253293.15989865805,259645.90002320652,251552.44587364313,267396.0342784082,260964.59421169155,266703.2835940927,262817.44949908403,250635.11380622213,166844.1727913721,261703.31629838495,247425.21338458345,244649.72026877457,257130.2321117335,254332.2713831252,249504.81017547438,255653.0741600338,266510.09395770356,259706.77433230652,267575.5252445122,258736.16219053336,4.666666666666666
135.0,254669.21578655468,254738.81526337337,251494.03207307094,251415.8915943636,263315.2132279677,253533.4668921817,259800.48921902594,251412.38794545707,267152.019944411,260786.14776192317,266601.1239580055,262507.2742790235,252226.09375869247,164267.52118368156,261075.51939064745,247031.95844936182,243074.96872530735,259438.0485773311,255447.98231454982,250210.87830359116,253995.84603439426,266523.0509730146,258842.12918843792,268576.5069787453,258486.6201839711,4.666666666666666
150.0,254137.02527691302,253818.64212547272,250303.37401739912,252242.1130563948,263265.93876293453,252278.15289280834,261279.40522856987,252204.6884974455,267112.4073579505,260686.39914215147,265156.2177954628,262011.86231438242,251207.6987073863,165172.15055798867,261071.2377264525,247628.6552612766,243553.09154738492,257464.8418460071,256461.49217109566,250221.1674293187,254134.3178511817,266699.5032305972,259419.44061000654,267542.95400144573,257918.9062155943,4.666666666666666
165.0,254792.5203754414,255502.54660047486,251070.37872568436,251706.8295736643,262912.49633468373,253909.5474514806,260323.52459019748,250606.88248023207,267828.4785908093,260722.27712398613,266446.35758448474,262205.0004538025,251249.3942019859,165092.52230963975,261958.49716369208,247308.16165020512,244736.5607473499,258173.3509864445,256090.56678588048,249859.29202760232,254052.23977881888,266839.2416797929,258935.36091346896,268275.77823687275,258502.58943962082,4.666666666666666
180.0,255947.87406991285,254408.75921254785,250636.80467429548,251635.48962021133,263173.2735878184,253459.3368468201,259690.99739791956,252209.9601418983,267288.14207725157,260765.62431733063,265348.12465868547,262324.7460777513,252797.0743925681,165166.92306480472,261669.555260246,248078.60044091858,244214.24671951414,258059.36720150447,255938.80810083475,250264.66719581446,253937.8840789829,265906.1867445608,258927.96181674642,267795.3242614436,257960.68982297002,4.666666666666666
195.0,255942.92962563303,254374.97963271107,251826.28463333694,251860.74477429411,261991.77713872772,253289.08722542273,260034.32491207775,251441.3290460233,267400.15944283747,260887.62427034762,266098.6172401017,262021.24237421897,250419.81606269206,165194.92107954554,261721.25485461653,246168.49686522054,245337.48121241957,258453.95462627194,255055.60168663377,250312.98092430466,254327.14393626057,266474.3491932637,259433.32224270306,266850.0670948883,258197.67126062734,4.652777777777778
210.0,255126.513584448,253480.67831324274,251757.5283746088,253312.72745524027,261745.76627043722,253890.88011025355,259295.81281641728,251953.31079765456,267004.3908824331,260776.61761969104,264587.4644384433,262696.4779110556,250422.52078653802,166001.0016677619,260338.76058579766,247091.3322537281,243178.17626301773,257696.4949747501,255163.5061760767,250615.67762409503,253450.96449800016,266889.96105699433,259970.02347057205,266991.56174533267,258283.68776630174,4.638888888888886
225.0,255174.42728166978,255392.75269641582,251070.13833279719,252138.01859533705,261428.15520219397,252507.47367099157,259763.3653732205,252808.21941224037,267230.9161663578,261343.62253400532,264949.82502772583,261769.44390993813,250561.39788061983,164721.14801675786,260893.57926238293,246690.26910065842,244844.91043083253,258565.44035021294,255157.64445696364,248713.75113552305,254203.44541765915,267122.04784642026,258738.60025667155,267734.9373737006,259052.67647555517,4.624999999999997
240.0,255713.9630154136,254176.90543887365,251642.57927861146,252057.2908222995,262516.6014823492,254212.13332889337,260097.9248820281,251868.72647290022,266009.64493308007,260647.30466902198,266041.1984101693,261526.86800548254,250416.03356154077,164937.25478571357,261087.23665712585,248073.49690843813,243650.7873964041,257994.97316491953,255322.36735952762,249384.17875708672,255138.704189641,267852.7449738695,259711.55289502803,267279.4802007231,258115.74370862564,4.61111111111111
255.0,255031.15769818862,253680.82624802776,250736.44436315983,251500.49496828357,262657.2729423799,253173.57015788127,258910.3948973595,252890.92670040403,268513.8599366817,259923.9425489678,266798.04510782403,262203.244653267,251464.95958264894,164845.18512879242,260600.02685789272,246682.1142341384,243850.26561727142,258053.98676965424,255511.05124673434,250527.70359694515,253979.39091736087,266725.3826237592,261143.05011461527,268133.31174623856,259375.65282882587,4.624999999999997
270.0,255412.30320027645,254679.82948960314,251851.3630474874,252032.55007730506,262384.14882697235,253048.19104050467,259712.10565906795,252375.0264321026,267335.64745340555,260989.36435698555,265376.40964125365,261317.3963408939,250803.53726978227,165493.841734661,260354.2096054719,248820.33744258768,244028.17118340408,257907.9628776842,255552.6907794621,250693.5206601775,253847.41424664122,267447.61740659573,260253.84620186436,267313.19770120294,258707.03854661153,4.638888888888886
285.0,254716.770245732,253993.43257785545,252385.56813000995,251737.23877124226,261416.37585505797,253348.89354928667,259774.88843736044,251102.63173947536,266875.94160347077,260956.25862733735,266162.6260712651,262469.3747587248,249352.55859353638,164740.43828421028,261515.29967159577,247803.1111359366,244852.96339780485,256654.53070317148,255633.7863497159,249016.16209634184,255073.38728821426,267151.2043986736,259528.24851307002,268246.06240661506,257939.5595663631,4.652777777777778
300.0,255448.51037842917,254362.7648811672,250999.38727016648,251278.0595747152,261988.60876217217,252656.44642873676,261281.38805596004,251695.0221241661,267600.8508322888,259988.7162473426,265949.2473844081,262123.61140633855,251117.22997466382,165492.1169286051,261690.52837457854,247876.7395439944,245001.6582044224,258645.4816869587,255878.759152899,250708.49688374158,253283.20745300912,265593.092537171,260558.29912587343,266220.9274527181,258437.10199070186,4.666666666666666
315.0,254968.92957059812,253677.00906543978,251240.29080708596,252388.05909122093,263360.6226959559,252415.66479026256,259144.7989937263,250805.27754868992,267030.8805681849,260366.41305566186,265248.81033303926,261861.67484062235,251409.9254924279,164016.15349598564,260337.5538088749,247872.03610729016,244970.67094664104,257785.66249592404,256229.73944769602,249736.62920803862,254374.09794884338,266708.8097352948,259937.2872998608,267541.6532343399,259003.62303713625,4.666666666666666
330.0,255176.70725532717,255283.95105745023,252435.16015833823,251136.0394406381,261873.00200106832,254033.55841391755,259917.2115044896,251952.24784275057,266196.63000039925,261119.77260394944,265128.8854489922,261525.40400925957,250938.7946368711,165266.26469591018,261686.64471462733,247735.21622215916,244316.68470113183,257873.03551083236,255940.78748772762,250112.5381230976,253033.74040409536,266503.73504673585,260204.17928346517,267436.96681091306,258482.7851829497,4.666666666666666
345.0,255741.61375091417,253914.4541051624,252068.87871271936,253710.20687725933,263646.2121208869,252319.5775774846,260363.44070617307,252379.98490345204,268296.3932591786,260761.748177604,265987.18438081176,261033.648270616,251182.26455549788,165524.87673533935,261413.92731022762,247571.47881257432,243047.38338173082,256854.13974191868,255521.64625758716,250448.36762496477,255215.60488715855,266847.05224258464,259803.40725617,268235.8500258078,258037.76911540184,4.666666666666666
