time,power[1],power[2],power[3],power[4],power[5],power[6],power[7],power[8],power[9],power[10],power[11],power[12],power[13],power[14],power[15],power[16],power[17],power[18],power[19],power[20],power[21],power[22],power[23],power[24],power[25],OA Wetbulb Temp
0.0,255485.09540767045,253202.2458670679,252668.76841287478,253003.4122228715,261050.44092676445,252770.39193994633,262100.21767154438,250198.8965027153,267058.7044403265,261865.07732601085,264271.4538244418,263472.2315019947,249650.19506277394,166614.5497303595,262901.3015488356,248389.26044348336,242807.80028046708,259078.68683967955,255485.10886265,249857.6177685327,255892.76509245366,267716.94493654644,257865.44622857965,268432.530261563,258379.4517836471,4.833333333333335
15.0,253987.41875698674,254095.67317619553,249693.4398480506,251138.3136679174,261961.22268327046,252709.55997870507,259530.89584829955,252731.63129095896,267681.8428407346,260295.6560910495,266063.0480192721,262608.92808915285,251518.25802259706,163962.03011907614,261752.52758336868,248007.05704593888,244159.20421378402,255681.0593916336,254502.70520479188,249758.32392218706,251475.83356487995,265800.6999299308,260527.60355804805,266908.59421466617,255585.51958715657,4.805555555555559
30.0,255671.84175811437,255440.8904119388,249667.67351831947,249380.5209515346,263754.08773166983,254127.00062058968,260439.77121322902,253175.29964791704,268389.87209280673,260423.8420935196,265465.2943534563,262561.7857590347,249428.9699978721,167771.2650265916,260218.1587777728,245706.429551219,245034.93349107652,258339.50173169302,254534.15153271152,250351.03181263065,254465.78888997104,267182.2477242721,259079.448730175,267255.34676676895,256556.71292437112,4.777777777777779
45.0,254719.28727646385,256219.6043402002,251154.71506763774,252839.91302066264,263396.2655257384,253562.94463921178,259554.39844805514,250920.3065186699,267772.5026694975,259632.52363973207,266563.7666870908,261380.51643511094,250583.79817465277,164730.45578142238,262444.39451323263,249173.29311464814,245375.39723946535,258975.1338428825,254638.10098600882,248730.09544698763,253325.5993198259,265561.7980126562,260198.73075256145,267703.47209819895,258403.67539542323,4.749999999999998
60.0,256816.7265959787,254830.1877623677,253191.30252018818,252115.67287925232,263260.2653172451,254001.0336617396,259582.16626138345,253425.641864472,266462.3046185611,260807.91317757368,263912.50216727715,263832.0720389514,251280.29273224453,163480.67172767274,260425.79491256562,246850.39270279577,243472.38244398628,256400.60105247135,254625.4595034947,250101.84839635427,255511.41027313753,266785.2771359963,260115.25199468614,266817.04183876066,259296.8996465572,4.722222222222222
75.0,255753.45640486848,255290.04763785083,251427.1746398753,251418.31093408196,261775.92246810911,254292.94196873222,257403.35478239413,253451.41398451943,268963.8733290793,261740.9434571042,266290.86229355796,262016.41668564855,249625.01540509585,164363.8312748281,261312.96354684824,248479.66438588226,243528.63008266894,258784.46461738512,256005.43626448777,249703.96208391417,255594.51984264902,266241.86294956616,257578.47009431923,269458.21830338996,259833.78704283704,4.708333333333334
90.0,256151.36386701584,255429.5338009145,251900.9789736995,253479.25697824737,261789.34354804343,252505.05314403048,261332.73899198772,251453.80823218342,267371.6607393417,260758.52429137472,266229.7913035554,261530.36657814402,250811.8181147489,164442.6055070863,259421.9628254943,245568.91144809077,245160.098914585,257407.70835545904,253666.41530467666,247903.60394961305,255534.03332684695,266824.0045616654,259922.24420816993,269595.8835427957,257378.63945144942,4.694444444444446
105.0,256033.568603294,256008.79005587182,250590.6012925769,252635.86471066368,263286.62710872776,253249.7471714332,262515.72763872636,254185.00937431262,266207.9134926939,261708.19455425243,266203.2349274443,261796.82109072866,250612.87477988916,165092.5850989862,260604.35088589127,247282.669346514,246738.7207188881,258143.07499194934,254313.6062104532,250388.54065256673,253920.07509483155,268900.298326905,260111.4264471653,267298.7824009618,257815.45092376904,4.680555555555554
120.0,255057.3548350399,255260.59545329906,250033.65387747186,252775.1518314051,263895.5603332218,252803.75217605027,259121.20145199125,252117.99002073795,268440.6982726884,262207.7534193466,266166.7382983805,259852.07075273353,250555.64330292548,164485.2047080364,259710.01713947766,247886.25040110416,244920.8322686924,257498.9202436607,255656.88327608956,250071.41956653097,255475.28609115182,266395.42994766537,262046.92851514384,266607.484330298,257925.748597261,4.666666666666666
135.0,256933.19846479475,252145.96202218678,252535.26432506778,251828.80630694402,262294.4792597597,252484.84742284563,258797.12002081564,250340.27336315074,268928.64034971193,260514.6007894031,266560.9005613989,261415.65789467818,250453.5445953503,165918.18079640617,260507.71802629522,248252.44271681923,244907.73916768952,256886.3228308649,255360.86639761584,252921.20951157506,255758.1139848613,266926.57400799775,260411.05336504008,265667.2441460185,257108.28750830365,4.666666666666666
