"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","MonthlyAverageWindSpeed","CoolingDegreeDaysSeasonToDate","MonthlyCoolingDegreeDays","MonthlyNumberDaysWithSnowfall","HeatingDegreeDaysSeasonToDate","MonthlyHeatingDegreeDays","MonthlyNumberDaysWithThunderstorms","MonthlyNumberDaysWithHeavyFog","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"USW00013891","2024-01-01T00:00:00","35.8181","-83.9858","293.2","KNOXVILLE AIRPORT, TN US","SOD","","","","","","","","","","","","","","","","","","0746","1732","-3.3","3.9","64","1023.0","986.1","0.6","3.6","0","-0.27","14.4","7.2","0.6","030","8.9","0.0","0.0","0.0","020","6.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NNE","5.8","mi","TEMP, PRECIP, SNOW","830","SRG-STN, SNOWBOARD, SNOWSTICK, NIMBUS","35.8984","-83.9569","KNOXVILLE EXP STA, TN","04/17/2007"
"USW00013891","2024-01-01T00:53:00","35.8181","-83.9858","293.2","KNOXVILLE AIRPORT, TN US","FM-15","343","1017.9","1.1","6.1","0.0","","1.0","3","71","FEW:02 19.81","1017.8","982.4","16.093","3.9","280","","5.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11701/01/24 00:53:02 METAR KTYS 010553Z 28010KT 10SM FEW065 06/01 A3006 RMK AO2 SLP178 T00610011 10094 20061 53010 (JTD)","NNE","5.8","mi","TEMP, PRECIP, SNOW","830","SRG-STN, SNOWBOARD, SNOWSTICK, NIMBUS","35.8984","-83.9569","KNOXVILLE EXP STA, TN","04/17/2007"
"USW00013891","2024-01-01T01:53:00","35.8181","-83.9858","293.2","KNOXVILLE AIRPORT, TN US","FM-15","343","1018.6","1.1","4.4","0.0","","","","79","BKN:07 21.34","1018.5","983.0","16.093","3.0","270","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09901/01/24 01:53:02 METAR KTYS 010653Z 27005KT 10SM BKN070 04/01 A3008 RMK AO2 SLP185 T00440011 (JTD)","NNE","5.8","mi","TEMP, PRECIP, SNOW","830","SRG-STN, SNOWBOARD, SNOWSTICK, NIMBUS","35.8984","-83.9569","KNOXVILLE EXP STA, TN","04/17/2007"
"USW00013891","2024-01-01T02:43:00","35.8181","-83.9858","293.2","KNOXVILLE AIRPORT, TN US","FM-16","343","1019.3","0.6","3.3","","","","","83","BKN:07 6.1","","983.7","16.093","2.2","230","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09201/01/24 02:43:02 SPECI KTYS 010743Z 23004KT 10SM BKN020 03/01 A3010 RMK AO2 T00330006 (JTD)","NNE","5.8","mi","TEMP, PRECIP, SNOW","830","SRG-STN, SNOWBOARD, SNOWSTICK, NIMBUS","35.8984","-83.9569","KNOXVILLE EXP STA, TN","04/17/2007"
"USW00013891","2024-01-01T02:53:00","35.8181","-83.9858","293.2","KNOXVILLE AIRPORT, TN US","FM-15","343","1019.3","0.6","3.3","0.0","","","","83","OVC:08 6.1","1019.4","983.7","16.093","2.2","210","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09901/01/24 02:53:02 METAR KTYS 010753Z 21006KT 10SM OVC020 03/01 A3010 RMK AO2 SLP194 T00330006 (JTD)","NNE","5.8","mi","TEMP, PRECIP, SNOW","830","SRG-STN, SNOWBOARD, SNOWSTICK, NIMBUS","35.8984","-83.9569","KNOXVILLE EXP STA, TN","04/17/2007"
"USW00013891","2024-01-01T03:26:00","35.8181","-83.9858","293.2","KNOXVILLE AIRPORT, TN US","FM-16","343","1019.6","0.0","2.8","","","","","82","SCT:04 6.4 SCT:04 21.34 BKN:07 39.62","","984.0","16.093","1.6","200","","3.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10601/01/24 03:26:02 SPECI KTYS 010826Z 20007KT 10SM SCT021 SCT070 BKN130 03/00 A3011 RMK AO2 T00280000 (JTD)","NNE","5.8","mi","TEMP, PRECIP, SNOW","830","SRG-STN, SNOWBOARD, SNOWSTICK, NIMBUS","35.8984","-83.9569","KNOXVILLE EXP STA, TN","04/17/2007"
"USW00013891","2024-01-01T03:53:00","35.8181","-83.9858","293.2","KNOXVILLE AIRPORT, TN US","FM-15","343","1019.6","0.0","3.9","0.0","","1.7","1","76","SCT:04 6.4 BKN:07 18.29 BKN:07 39.62","1019.6","984.0","16.093","2.3","230","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11901/01/24 03:53:02 METAR KTYS 010853Z 23006KT 10SM SCT021 BKN060 BKN130 04/00 A3011 RMK AO2 SLP196 T00390000 51017 (JTD)","NNE","5.8","mi","TEMP, PRECIP, SNOW","830","SRG-STN, SNOWBOARD, SNOWSTICK, NIMBUS","35.8984","-83.9569","KNOXVILLE EXP STA, TN","04/17/2007"
"USW00013891","2024-01-01T04:51:00","35.8181","-83.9858","293.2","KNOXVILLE AIRPORT, TN US","FM-16","343","1020.0","-2.0","4.0","","","","","65","BKN:07 7.62 OVC:08 14.02","","984.4","16.093","1.5","270","","4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09501/01/24 04:51:02 SPECI KTYS 010951Z 27008KT 10SM BKN025 OVC046 04/M02 A3012 RMK AO2 FIBI (JTD)","NNE","5.8","mi","TEMP, PRECIP, SNOW","830","SRG-STN, SNOWBOARD, SNOWSTICK, NIMBUS","35.8984","-83.9569","KNOXVILLE EXP STA, TN","04/17/2007"
"USW00013891","2024-01-01T04:53:00","35.8181","-83.9858","293.2","KNOXVILLE AIRPORT, TN US","FM-15","343","1020.0","-1.7","3.9","0.0","","","","67","BKN:07 7.62 OVC:08 14.02","1020.0","984.4","16.093","1.7","260","","4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10701/01/24 04:53:02 METAR KTYS 010953Z 26008KT 10SM BKN025 OVC046 04/M02 A3012 RMK AO2 SLP200 T00391017 (JTD)","NNE","5.8","mi","TEMP, PRECIP, SNOW","830","SRG-STN, SNOWBOARD, SNOWSTICK, NIMBUS","35.8984","-83.9569","KNOXVILLE EXP STA, TN","04/17/2007"
"USW00013891","2024-01-01T05:53:00","35.8181","-83.9858","293.2","KNOXVILLE AIRPORT, TN US","FM-15","343","1020.7","-2.2","3.3","0.0","","","","68","BKN:07 7.32 OVC:08 18.29","1020.7","985.0","16.093","1.1","280","","4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10701/01/24 05:53:02 METAR KTYS 011053Z 28008KT 10SM BKN024 OVC060 03/M02 A3014 RMK AO2 SLP207 T00331022 (JTD)","NNE","5.8","mi","TEMP, PRECIP, SNOW","830","SRG-STN, SNOWBOARD, SNOWSTICK, NIMBUS","35.8984","-83.9569","KNOXVILLE EXP STA, TN","04/17/2007"
