time,power[1],power[2],power[3],power[4],power[5],power[6],power[7],power[8],power[9],power[10],power[11],power[12],power[13],power[14],power[15],power[16],power[17],power[18],power[19],power[20],power[21],power[22],power[23],power[24],power[25],OA Wetbulb Temp
0.0,1004342.0686783763,991224.4274334412,987030.663521621,990832.9192593067,1029629.1879537697,983259.419639815,1019183.4969811637,997975.2229543509,1047818.3245710236,1013719.8900273051,1039339.8533290569,1024457.0406474908,976114.6643880007,644088.723841439,1018703.8129704776,975274.0654643488,948968.6897481843,1001100.9306173085,995726.9375978357,977376.9287879207,1000262.002702478,1046705.6393467363,1013463.3093707969,1046880.7296154858,1001188.5794742943,4.833333333333335
15.0,1006780.9090627499,992087.0914510358,985107.6873224853,993500.3051625615,1028054.9838842227,987273.0567722174,1021172.1350948903,996617.6584513035,1047477.2308188886,1014108.8600339855,1038818.5020623473,1024547.9547607878,973722.836744193,643309.3479807866,1020669.7658789138,970106.9553546138,947454.3124052599,1003097.208811196,996564.9002657761,976706.9887148852,998250.6831384207,1047571.4297108027,1012171.5108359115,1044906.7821034981,1003391.1826698071,4.805555555555559
30.0,1002701.431951171,995589.9730367559,985491.5335828513,994466.8563708466,1030138.9149268783,987549.6848198081,1020146.3618968643,994478.9144259952,1051801.41980068,1017140.7705559991,1041871.1907292984,1022163.6987647909,974824.6220347625,645461.992272786,1023647.3497356628,972728.9050823667,955848.4075010631,1001472.1056189472,1001365.2927430394,982458.4964407982,999731.0312732409,1050979.647192674,1015547.4711650194,1047627.398180597,1007362.6643299471,4.777777777777779
45.0,1006955.8375260568,992919.9290139778,984497.676493491,993266.7943982376,1031347.0340791799,988003.5218532176,1023813.6036815485,995378.6499240012,1052903.2420733953,1015753.5775685182,1041037.394201059,1023138.6316071003,974383.287574181,649323.0469477223,1022324.8936950716,970683.3101709718,953583.7874015929,1004040.0488786768,1001786.1222320001,978964.0902956579,1000235.1869082949,1051596.7498680844,1016253.1305434898,1045109.4759613415,1008106.9142772118,4.749999999999998
60.0,1002687.8582593065,996083.528027181,988576.5876320918,997484.0622747352,1029143.7289448514,991140.3879181005,1024314.6272050268,997007.2909458994,1055745.3310409633,1018424.8933850545,1042329.2985608132,1024561.5562721387,978855.7069875632,648433.8326896578,1025160.6663588934,974191.9881075971,954299.8543780904,1008475.4035980689,1006972.5549749876,979467.9026157261,1001647.8789875006,1055116.621417804,1014717.7754208754,1049324.1445198583,1005611.4790352248,4.722222222222222
75.0,1004035.2552454063,996030.8288971008,990210.3527302793,998346.5044741919,1028895.3530198425,989151.4506701978,1018986.4638037614,994490.4320941464,1052530.707192354,1015900.4030092969,1043684.1339193309,1021424.3268517848,977902.4959252498,649823.5292433593,1023450.4999709813,975027.1366401605,951691.8099482735,1003376.7408254488,1004290.7996547336,979270.1088484714,1001144.7861725937,1053779.0797917855,1016481.1619858053,1047750.0055120259,1008987.5476380999,4.708333333333334
90.0,1001320.1062026508,988813.66266281,988035.1559754111,996067.5825223011,1026095.8895734631,989500.9606256606,1019123.168135987,994352.8183294671,1050958.8929593223,1015005.7432127122,1042542.9518000713,1019166.504329687,973179.5866941771,649649.536778433,1020773.1039879282,969071.3851021051,949098.005388298,1003185.3555507998,998380.5269449162,978694.5974889017,996816.2449692042,1048766.929658436,1017005.7297633849,1041997.3734327749,1003458.9458037887,4.694444444444446
105.0,1005990.9595458301,989267.1548834217,989804.2178082851,998882.9161493336,1030384.1154895745,990067.137574222,1020850.6634136611,997705.6399522458,1053184.3301654302,1016567.0465151413,1042762.1653131893,1023390.8793314117,973320.1470681952,646788.8049060728,1026357.0747644154,971725.6946227371,950632.6391924124,1005696.5509550968,1003031.1136799426,980876.0828783213,999163.3353265753,1051390.141364738,1015496.6174218062,1049717.5013845689,1008521.6504646405,4.680555555555554
120.0,998994.3213833442,987251.426941363,982923.5580465016,992838.9195801284,1028693.3156717399,984749.6200499418,1017140.4750000128,989552.1911332706,1047689.2096159549,1014876.0849634556,1034708.5080823358,1019898.5166209914,969167.5650350217,645246.7755132612,1018650.3830580713,969461.6270550588,947574.8930346572,1004632.0491666421,998023.2828658363,977657.2683796908,1000674.8097827018,1053875.313333686,1010844.9075403753,1044399.8937448042,1001531.7331999046,4.666666666666666
135.0,998653.5164865985,985493.2132328718,981218.9115771321,994159.6849774362,1027688.4878167547,984424.3087204095,1015292.9052428943,990053.828406762,1048631.1890004843,1014527.4837826102,1032097.3751233134,1022514.3205548305,968966.6749538265,648657.064273301,1020515.7030904861,969213.4941202129,949951.3471708354,1003251.9656488058,998987.3650364559,975175.9849274318,996413.8726283698,1053664.377358287,1011937.6057390899,1043319.0993269243,1002435.8958383814,4.666666666666666
