time,power[1],power[2],power[3],power[4],power[5],power[6],power[7],power[8],power[9],power[10],power[11],power[12],power[13],power[14],power[15],power[16],power[17],power[18],power[19],power[20],power[21],power[22],power[23],power[24],power[25],OA Wetbulb Temp
0.0,256007.4779424092,254932.67823195105,254532.41096029035,252041.13669674192,265559.0769379263,251892.97312250952,260531.98654935436,251935.86268771376,268058.3953741182,260497.58667139205,266337.5286104657,261839.1993442797,249755.77794511738,164783.00204341824,259421.75801710147,247413.5693321698,244040.90019878693,258047.1623363011,256115.36876816797,250490.95758167622,255336.61261196356,266970.4098281661,261224.61481458013,267686.61500476627,259057.71269174892,4.833333333333335
15.0,256535.46898421124,254703.70908589335,251271.83952948748,251051.51683284357,262729.5321597944,254731.05174919084,258960.36039539665,252208.03051594726,267944.9238558642,261735.78147640527,265160.8441947832,263276.00910152815,249796.40508886092,164101.47214566392,261087.96732516665,247173.15554674654,242645.42968154908,258828.57614471315,256298.91649778842,248901.3052172908,254966.16508406677,268523.2547213831,259517.25619064635,267743.04756028636,258701.73167780595,4.805555555555559
30.0,256346.06237018545,253565.86720679468,250892.60355682296,250883.3833600896,263576.12994095136,251484.8172516578,260620.32547675274,253357.55575039884,267395.7208377471,260709.561564432,265187.876384246,260964.1149355222,249983.74280408793,165121.82463870855,259322.4083911225,246910.9623408177,244777.63430452076,256745.231964187,257820.09393928506,247657.4143443817,255068.6918760733,267374.05226724956,259542.12999993408,267229.20741586457,260319.6285123656,4.777777777777779
45.0,255966.6975172055,256307.25111412854,250383.68879051396,251636.3945461998,262786.96378112206,251509.3833255259,259476.21891642557,252092.74972716687,267996.54350924195,260638.50015128998,266701.2518967919,262155.9378639887,250299.733727666,164989.6809466384,260533.57306891278,246084.33788345504,246889.04712872655,259922.1553049905,256342.3909299044,250182.3311707938,255293.8968068174,266638.52305976884,259829.65921064938,269473.48027085455,257841.7382514511,4.749999999999998
60.0,254397.9294461874,254914.90392362955,251087.87978997277,252625.81417343914,264085.4815417659,253379.36539138985,260348.3054853214,250523.82926158753,268255.51800573984,258653.62045280624,265173.91974052356,262094.99148737168,250912.7673554846,165453.82274607915,260426.21695696612,248530.0336974055,244912.57855570636,258760.31370179311,254900.8029950421,252732.65896940144,254963.703445824,265228.3801647057,261045.0817945543,267755.6620399803,257492.61697614752,4.722222222222222
75.0,254994.64968686565,255179.49936926176,253363.40275314767,253152.66598429644,262331.53914911405,251665.970038493,260059.75903398576,250931.77459407615,267752.128737543,261757.55314532135,265716.8162080295,262861.4249077463,248962.99650093782,164250.41095143495,260758.29760753317,247372.3316939268,242329.35281862697,258213.81110079738,256266.59510120153,249892.6810333004,252359.6968317413,265416.0493313611,258687.98536120454,267565.727763185,260204.82175357317,4.708333333333334
90.0,256285.1062040017,254945.32245508363,250320.1750971478,250790.07147908842,262759.30346053257,252517.22987569903,258946.8702815264,252681.52476833554,267612.495908225,262312.5505869718,265617.81034566084,263251.1576167487,248492.61688757502,163515.5709727518,261079.2401179512,248750.67731583843,245014.94587266145,257273.9133568021,255962.59894880437,248869.56318885915,255892.74676561303,264443.9918225738,260759.36744600988,266206.3930472112,258699.34706617505,4.694444444444446
105.0,253729.2166321834,255363.3047842366,253090.9231440454,252096.99505188756,263659.5842203027,250443.585033092,259403.4323064819,251320.93825996146,266850.7962692268,260191.33728718868,265487.20964587893,261844.22335547235,248652.88229484324,164734.29152387285,260851.98103044386,248674.66421432435,244453.77161116133,259354.2914370442,257256.9444342403,250147.02691201452,254353.92635048952,265739.07226252276,260691.62625481223,266750.1146439887,259912.79304108245,4.680555555555554
120.0,255558.53240406665,255947.52668461154,252155.27745711195,252689.9524010487,261251.56247463002,253078.4323658912,259975.57389859614,252422.08092194205,267423.3698058382,260149.39471879406,264662.1397852684,261745.68952793413,249912.87871246738,165379.1238898678,259791.47027874042,246747.81683208255,246478.08233534076,258776.09613525434,256262.36453338232,249985.0999728779,256364.03864643973,268118.0755522277,260300.71474656503,268019.9409829544,258786.04698907406,4.666666666666666
135.0,253490.2411998824,254796.4039708031,249751.76328345525,252266.64923408197,266107.3625265566,253427.52502115507,259199.80944114522,252200.8941655032,267298.8823824715,260555.04108616523,264520.0299947714,263444.8949177766,251600.56075292334,165312.41312959912,261762.42635264873,247302.67323475992,244402.66054824548,257128.16305491625,255556.24314207415,249062.8674628579,255245.79296217015,265754.7088412753,259866.2651459814,268330.5645357958,259688.69351153838,4.666666666666666
