time,power[1],power[2],power[3],power[4],power[5],power[6],power[7],power[8],power[9],power[10],power[11],power[12],power[13],power[14],power[15],power[16],power[17],power[18],power[19],power[20],power[21],power[22],power[23],power[24],power[25],OA Wetbulb Temp
0.0,1013384.9879999999,1015702.38,977570.7479999999,1003009.3920000002,1028527.0380000002,994687.8480000002,1046249.8200000003,995109.1919999998,1063682.9279999998,1013938.002,1054518.6960000002,1061260.2,992107.1160000002,669357.6119999998,1035821.5559999997,959663.628,957978.2519999999,1013384.9879999999,1002166.7039999999,1008065.5200000001,1024919.28,1039034.304,1024603.272,1065684.3119999997,995425.2,4.833333333333335
15.0,1020521.5019999997,1015702.38,977570.7479999999,1003009.3920000002,1035821.5560000003,994687.8480000002,1046249.8200000003,995109.192,1063682.9279999998,1021232.5200000004,1039666.3200000001,1044933.1199999999,995741.2080000001,664406.8199999998,1035821.5559999997,966668.4720000001,957978.2519999999,1013384.9879999999,1002166.7039999999,1023339.24,1017598.428,1031818.7880000001,1024603.272,1065684.3119999997,995425.2,4.805555555555559
30.0,1020521.5019999997,1015702.38,977570.7479999999,995741.2080000001,1035821.5560000003,994687.8480000002,1046249.8200000003,995109.192,1056730.7519999999,1010172.2400000003,1061944.8839999998,1044933.1199999999,995741.2080000001,664406.8199999998,1035821.5559999997,966668.4720000001,970776.5759999998,1020521.5020000001,1005906.1319999999,1009224.216,1017598.428,1031818.7880000001,1024603.272,1065684.3119999997,995425.2,4.777777777777779
45.0,1020521.5019999997,1001692.6919999998,984654.594,995741.2080000001,1035821.5560000003,994687.8480000002,1046249.8200000003,995109.192,1064736.2879999997,1010172.2400000003,1061944.8839999998,1044933.1199999999,1017387.7559999999,664406.8199999998,1039350.3120000003,966668.4720000001,970776.5759999998,1020521.5020000001,1005906.1319999999,1009224.216,1017598.428,1031818.7880000001,1020863.844,1065684.3119999997,995425.2,4.749999999999998
60.0,1012989.9779999997,1001692.6919999998,984654.594,995741.2080000001,1039560.9840000003,994687.8480000002,1034794.53,995109.192,1064736.2879999997,1010172.2400000003,1065710.6459999997,1044933.1199999999,1017387.7559999999,664406.8199999998,1039350.3120000003,966668.4720000001,970776.5759999998,1020521.5020000001,1005906.1319999999,1009224.216,1017598.428,1031818.7880000001,1020863.844,1058626.7999999998,1032240.1320000002,4.722222222222222
75.0,1012989.9779999997,1001692.6919999998,984654.594,1024603.2719999998,1039560.9839999997,1008065.5200000001,1034794.53,1012989.9780000002,1064736.2879999997,1031818.7879999998,1058258.1239999996,1053096.66,1013674.6619999999,667408.896,1039350.3120000003,994687.8479999998,970776.5759999998,1020521.5020000001,1005906.1319999999,1001692.692,1013938.002,1046249.8200000003,1020863.844,1058626.7999999998,1032240.1320000002,4.708333333333334
90.0,1012989.9779999997,1020521.5019999997,984654.594,1032082.1279999998,1039560.9839999997,1008065.5200000001,1034794.53,1012989.9780000002,1064736.2879999997,1028053.0259999998,1065710.6459999997,1053096.66,1013674.6619999999,667408.896,1039350.3120000003,1002166.7039999997,985154.9400000001,1028053.0260000002,1013384.9879999999,1001692.692,1013938.002,1046249.8200000003,1020863.844,1058626.7999999998,1032240.1320000002,4.694444444444446
105.0,1012989.9779999997,1027658.016,999296.2980000003,1032082.1279999998,1039560.9839999997,1008065.5200000001,1034794.53,1012989.9780000002,1056730.7519999999,1028053.0259999998,1065710.6459999997,1053096.66,1013674.6619999999,667408.896,1039034.3040000002,1002166.7039999997,985154.9400000001,1028053.0260000002,1013384.9879999999,1001692.692,1013938.002,1042431.3900000004,1031818.7880000001,1058626.7999999998,1032240.1320000002,4.680555555555554
120.0,1020521.5019999997,1027658.016,999296.2980000003,1032082.1279999998,1035821.5559999997,1008065.5200000001,1046618.4960000003,1012989.9780000002,1056730.7519999999,1028053.0259999998,1065710.6459999997,1053096.66,1013674.6619999999,667408.896,1039034.3040000002,1002166.7039999997,985154.9400000001,1028053.0260000002,1034794.5300000003,1001692.692,1013938.002,1042431.3900000004,1031818.7880000001,1058626.7999999996,1032082.1280000004,4.666666666666666
135.0,1020521.5020000003,1027658.016,999296.2980000003,1017545.7599999999,1035821.5559999997,1001113.344,1046618.4960000003,1001692.6920000004,1056730.7519999999,1042431.3900000001,1058258.1240000003,1053096.66,1017387.7559999999,662774.1120000001,1039034.3040000002,995109.192,985154.9400000001,1028053.0260000002,1034794.5300000003,994161.1680000002,1024919.2799999998,1063998.9360000002,1031818.7880000001,1058626.7999999996,1032082.1280000004,4.666666666666666
